question,question_ids,answer,answer_ids,base_prediction,base_loss,search_method,best_prompt,best_prompt_ids,prompt_length,prompted_loss,base_correct,prompt_correct,question_length
ets lineup during their 2015 postseason run to the World Series . While Murphy cooled off in the World Series against the Kansas,"[1691, 1196, 786, 2645, 1009, 29871, 29906, 29900, 29896, 29945, 1400, 25682, 1065, 304, 278, 2787, 10488, 869, 5806, 7487, 11461, 1302, 29877, 839, 1283, 297, 278, 2787, 10488, 2750, 278, 20029]",City,4412,4412,0.0176589861512184,None_,,[],0,0.0176589861512184,True,True,32
landaff and ordering their return . Pain was among a group of nobles similarly accused by Pope Honorius II in 1128 . Honorius once,"[1049, 3470, 322, 20520, 1009, 736, 869, 349, 475, 471, 4249, 263, 2318, 310, 26784, 22829, 28886, 491, 20635, 18236, 2482, 1944, 297, 29871, 29896, 29896, 29906, 29947, 869, 18236, 2482, 2748]",again,1449,1449,0.4856497049331665,None_,,[],0,0.4856497049331665,True,True,32
") , in the hope that they would initiate the end of the world . The six were intended to cause the large , inhabited floating sphere named Coc","[1723, 1919, 297, 278, 4966, 393, 896, 723, 14511, 403, 278, 1095, 310, 278, 3186, 869, 450, 4832, 892, 9146, 304, 4556, 278, 2919, 1919, 14117, 1573, 16526, 20745, 4257, 315, 542]",oon,6150,3637,0.9656407237052916,greedy,película,[19053],1,0.2107975780963897,False,True,32
"etic personality — on the one hand an enthusiasm for "" symbolist moments "" and "" freely imaginative narratives "" , and on the other","[7492, 2022, 2877, 813, 373, 278, 697, 1361, 385, 23644, 3173, 29885, 363, 376, 5829, 391, 19462, 376, 322, 376, 28472, 6382, 262, 1230, 15474, 5056, 376, 1919, 322, 373, 278, 916]",a,263,1361,1.3929953575134275,greedy,£,[15151],1,0.8696050047874451,False,True,32
"dissed West because he disliked his new music . "" Tears to Snow "" is an emotional song about him and his ex @-@ girl","[766, 8485, 3122, 1363, 540, 766, 5081, 287, 670, 716, 4696, 869, 376, 323, 15451, 304, 24392, 376, 338, 385, 23023, 1848, 4823, 1048, 1075, 322, 670, 429, 732, 29899, 29992, 7826]",friend,18326,18326,0.1029679626226425,None_,,[],0,0.1029679626226425,True,True,32
"nicht lassen "" ( If the world cannot cease ) , begins by recounting persecution , but quickly becomes an arioso with a walking continu","[3072, 25979, 376, 313, 960, 278, 3186, 2609, 2257, 559, 1723, 1919, 16410, 491, 1162, 792, 292, 639, 3471, 918, 1919, 541, 9098, 7415, 385, 263, 374, 9064, 411, 263, 22049, 3133]",o,29877,29877,0.0342933498322963,None_,,[],0,0.0342933498322963,True,True,32
"played basketball under coach Conway Stewart in high school . She won the most valuable player award three consecutive years , served as team captain and made the state All @","[5318, 20305, 1090, 11182, 1281, 1582, 22389, 297, 1880, 3762, 869, 2296, 2113, 278, 1556, 21114, 4847, 9862, 2211, 18942, 2440, 1919, 6766, 408, 3815, 15315, 322, 1754, 278, 2106, 2178, 732]",-,29899,29899,2.696519374847412,None_,,[],0,2.696519374847412,True,True,32
"onstads plass in Sandvika , the administrative centre of Bærum . It was commissioned in 1965 by the local Rot","[265, 303, 7925, 282, 605, 297, 8564, 29894, 4106, 1919, 278, 19185, 8442, 310, 350, 30078, 5848, 869, 739, 471, 12969, 287, 297, 29871, 29896, 29929, 29953, 29945, 491, 278, 1887, 9664]",ary,653,653,0.0105306198820471,None_,,[],0,0.0105306198820471,True,True,32
23 January 1935 . The damage to Hood was limited to her left outer propeller and an 18 @-@ in,"[29871, 29906, 29941, 5490, 29871, 29896, 29929, 29941, 29945, 869, 450, 18658, 304, 379, 2092, 471, 9078, 304, 902, 2175, 11420, 3107, 4539, 322, 385, 29871, 29896, 29947, 732, 29899, 29992, 297]",ch,305,305,0.1263661384582519,None_,,[],0,0.1263661384582519,True,True,32
"pictures from left to right depicted Joan devoting herself to the service of God and her country , Joan scattering the enemies of France , and Joan dying a","[14956, 515, 2175, 304, 1492, 1401, 18186, 19317, 2906, 11427, 8735, 304, 278, 2669, 310, 4177, 322, 902, 4234, 1919, 19317, 14801, 292, 278, 22595, 310, 3444, 1919, 322, 19317, 27116, 263]",mart,14436,14436,0.4800366163253784,None_,,[],0,0.4800366163253784,True,True,32
"uinose ( appearing to be covered with a fine whitish powder ) , but becomes smooth in age . The stem base bears large , br","[29884, 262, 852, 313, 21534, 304, 367, 10664, 411, 263, 2691, 377, 277, 728, 4764, 672, 1723, 1919, 541, 7415, 10597, 297, 5046, 869, 450, 20805, 2967, 367, 1503, 2919, 1919, 1506]",ist,391,391,0.1076662093400955,None_,,[],0,0.1076662093400955,True,True,32
"houses and schools associated with the "" Underworld "" . Many of the Carlton scenes were filmed in North Melbourne , primarily around Errol Street . All La","[12955, 322, 12462, 6942, 411, 278, 376, 7634, 11526, 376, 869, 9267, 310, 278, 8965, 880, 20407, 892, 977, 2168, 297, 4644, 22103, 1919, 19434, 2820, 1425, 1467, 7103, 869, 2178, 997]",Por,7102,381,3.652965545654297,greedy,Пор,[26150],1,1.611270546913147,False,True,32
"Two places for the United States were vacant , as Sherrill had died in June , but the minutes specifically note that Brundage was elected to the","[7803, 7600, 363, 278, 3303, 3900, 892, 11757, 424, 1919, 408, 1383, 3127, 453, 750, 6423, 297, 5306, 1919, 541, 278, 6233, 10816, 4443, 393, 8135, 299, 482, 471, 11467, 304, 278]",IO,10663,2602,3.298475503921509,greedy,IO,[10663],1,1.3269002437591553,False,True,32
"kingdom . Merchants from Genoa and Pisa soon attacked each other in Acre , destoying a significant portion of the town . According to a","[20748, 869, 4702, 305, 1934, 515, 5739, 19807, 322, 349, 8069, 4720, 22630, 1269, 916, 297, 319, 1037, 1919, 2731, 29877, 5414, 263, 7282, 11910, 310, 278, 4726, 869, 7579, 304, 263]",Gen,5739,17168,2.679344415664673,greedy,ŏ,[30476],1,1.9690829515457156,False,True,32
"0 , 2006 , by Metro @-@ Goldwyn @-@ Mayer , Columbia Pictures and Revolution Studios . It exceeded box","[29900, 1919, 29871, 29906, 29900, 29900, 29953, 1919, 491, 23803, 732, 29899, 29992, 6650, 29893, 948, 732, 29899, 29992, 2610, 261, 1919, 15411, 26069, 322, 14595, 23268, 869, 739, 13461, 287, 3800]",office,8034,8034,0.1726003736257553,None_,,[],0,0.1726003736257553,True,True,32
", 47 – 17 , to improve to a 2 – 1 record . Their first win in the ACC was followed by their first","[1919, 29871, 29946, 29955, 785, 29871, 29896, 29955, 1919, 304, 11157, 304, 263, 29871, 29906, 785, 29871, 29896, 2407, 869, 11275, 937, 5401, 297, 278, 319, 4174, 471, 5643, 491, 1009, 937]",loss,6410,6410,1.055419921875,None_,,[],0,1.055419921875,True,True,32
"they appear to be non @-@ winnable . For example , this position is a win for Black in 154 moves ( during which the","[896, 2615, 304, 367, 1661, 732, 29899, 29992, 281, 2559, 519, 869, 1152, 1342, 1919, 445, 2602, 338, 263, 5401, 363, 6054, 297, 29871, 29896, 29945, 29946, 16229, 313, 2645, 607, 278]",white,4796,6054,3.09077262878418,greedy,arab,[25352],1,2.430663824081421,False,True,32
"an argument regarding international principles . To this end , Miskovsky and two other lawyers ( Alexander W. Parker and Frank Rogers ) wrote a","[385, 2980, 11211, 6121, 18671, 869, 1763, 445, 1095, 1919, 341, 3873, 586, 7912, 322, 1023, 916, 4307, 29891, 414, 313, 9428, 399, 29889, 24239, 322, 4976, 9272, 414, 1723, 5456, 263]",brief,11473,5497,3.06063175201416,greedy,scheduled,[21467],1,1.881649374961853,False,True,32
"Lake Michigan between Manitowoc , Wisconsin , and Ludington . As the highway crosses the state , it is a two @-@ lane und","[9459, 17098, 1546, 2315, 277, 340, 542, 1919, 22581, 1919, 322, 8591, 4885, 869, 1094, 278, 29469, 4891, 267, 278, 2106, 1919, 372, 338, 263, 1023, 732, 29899, 29992, 301, 1662, 563]",iv,440,440,0.0027069137431681,None_,,[],0,0.0027069137431681,True,True,32
heastern Hampshire County to carry Capon Springs Road ( West Virginia Secondary Route 16 ) between West Virginia Route 259 and Cap,"[354, 11530, 7904, 28401, 5127, 304, 8677, 5915, 265, 14314, 886, 9321, 313, 3122, 11653, 6440, 653, 12034, 29871, 29896, 29953, 1723, 1546, 3122, 11653, 12034, 29871, 29906, 29945, 29929, 322, 5915]",on,265,265,0.0024127440992742,None_,,[],0,0.0024127440992742,True,True,32
"judged in respect to that music . "" Townsend produced and performed nearly all the instruments on the debut studio album , Heavy as a Really Heavy","[6577, 3192, 297, 3390, 304, 393, 4696, 869, 376, 8421, 6717, 7371, 322, 8560, 8886, 599, 278, 23643, 373, 278, 9512, 8693, 3769, 1919, 940, 5301, 408, 263, 830, 635, 940, 5301]",Th,498,498,0.0485865324735641,None_,,[],0,0.0485865324735641,True,True,32
"of Babli 's anklet , two buttons from Manoj 's shirt , and torn photographs of the couple . Manoj '","[310, 14525, 492, 525, 29879, 385, 29895, 1026, 1919, 1023, 9828, 515, 341, 1562, 29926, 525, 29879, 528, 2728, 1919, 322, 10146, 17739, 29879, 310, 278, 7303, 869, 341, 1562, 29926, 525]",s,29879,29879,0.0098430272191762,None_,,[],0,0.0098430272191762,True,True,32
"Les Chouans was published in 1829 , he released a treatise about the institution called Physiologie du Mariage . His attention to","[2664, 678, 283, 550, 471, 6369, 297, 29871, 29896, 29947, 29906, 29929, 1919, 540, 5492, 263, 7539, 895, 1048, 278, 12666, 2000, 11661, 29875, 5458, 868, 27161, 482, 869, 3600, 8570, 304]",the,278,278,1.0747032165527344,None_,,[],0,1.0747032165527344,True,True,32
"andic families and businesses . "" NBI ( originally known as Nýi Landsbanki ) was set up on 9 October with 2","[392, 293, 13175, 322, 5381, 267, 869, 376, 405, 12809, 313, 10437, 2998, 408, 405, 30052, 29875, 3172, 29879, 9157, 29875, 1723, 471, 731, 701, 373, 29871, 29929, 5533, 411, 29871, 29906]",0,29900,29900,1.2438011169433594,None_,,[],0,1.2438011169433594,True,True,32
"to purchase shares in the club , but only membership . The members of Barcelona , called socis , form an assembly of delegates which is the highest governing","[304, 20590, 29358, 297, 278, 4402, 1919, 541, 871, 28512, 869, 450, 5144, 310, 12408, 1919, 2000, 17874, 275, 1919, 883, 385, 11470, 310, 16000, 1078, 607, 338, 278, 9939, 14765, 1076]",body,3573,3573,0.117376685142517,None_,,[],0,0.117376685142517,True,True,32
and the electrical systems failed one by one before reaching Gibraltar . The copper rings for sealing the portholes were left in Kronstadt,"[322, 278, 3546, 16888, 6757, 5229, 697, 491, 697, 1434, 20888, 15347, 1705, 12637, 869, 450, 1302, 2496, 28774, 363, 409, 12818, 278, 1277, 386, 6544, 892, 2175, 297, 476, 1617, 9516]",and,322,322,1.8418879508972168,None_,,[],0,1.8418879508972168,True,True,32
"Her work is generally well received , with the more recent novels reaching the New York Times Bestseller List . Critics have praised her meticulous","[2439, 664, 338, 6892, 1532, 4520, 1919, 411, 278, 901, 7786, 2420, 1379, 20888, 278, 1570, 3088, 10277, 6407, 29879, 4539, 2391, 869, 15976, 1199, 505, 7213, 3368, 902, 1539, 12906, 681]",research,5925,5925,1.137223482131958,None_,,[],0,1.137223482131958,True,True,32
"and maintain a sense of community among Extension students . In partnership with many other organizations on campus , HESA provides a variety of social activities , educational","[322, 7344, 263, 4060, 310, 7881, 4249, 7338, 2673, 8041, 869, 512, 22056, 4034, 411, 1784, 916, 25700, 373, 24165, 1919, 379, 2890, 29909, 8128, 263, 12875, 310, 5264, 14188, 1919, 28976]",events,4959,11104,1.7815552949905396,greedy,München,[10864],1,1.3197805881500244,False,True,32
"to locations such as Aberdeen , and Inverness to the north and London King 's Cross to the south . Nearby stations such as Burnt","[304, 14354, 1316, 408, 20626, 311, 264, 1919, 322, 512, 369, 2264, 304, 278, 6641, 322, 4517, 4088, 525, 29879, 11189, 304, 278, 7062, 869, 26206, 1609, 16355, 1316, 408, 6640, 593]",is,275,275,0.0945861190557479,None_,,[],0,0.0945861190557479,True,True,32
