question,question_ids,answer,answer_ids,base_loss,search_method,best_prompt,best_prompt_ids,prompt_length,prompted_loss,base_correct,prompt_correct,question_length
= French battleship Jaurég,"[353, 5176, 8957, 793, 4034, 435, 6698, 2445]",as,294,9.123624801635742,greedy,ган,"[7478, 10199, 24910]",3,1.9762694835662842,False,True,8
= French battleship Jaurég,"[353, 5176, 8957, 793, 4034, 435, 6698, 2445]",iste,2488,10.045499801635742,gcg,èg,"[20608, 1655, 2488, 13259]",4,0.006991091184318066,False,True,8
= French battleship Jaurég,"[353, 5176, 8957, 793, 4034, 435, 6698, 2445]",ray,764,10.686124801635742,greedy,берг,"[27872, 764]",2,0.36479827761650085,False,True,8
= French battleship Jaurég,"[353, 5176, 8957, 793, 4034, 435, 6698, 2445]",ud,566,11.318937301635742,greedy,ʲ,"[30668, 20608, 29160]",3,1.058763027191162,False,True,8
"or later ) , according to which the","[470, 2678, 1723, 1919, 5034, 304, 607, 278]",whole,3353,5.000518321990967,gcg,continent,"[25523, 1541, 24517, 18671, 1601, 4695, 5919, 18396]",8,1.356183409690857,False,True,8
"or later ) , according to which the","[470, 2678, 1723, 1919, 5034, 304, 607, 278]",main,1667,5.758330821990967,greedy,Main,"[6330, 15572]",2,3.045194387435913,False,True,8
"or later ) , according to which the","[470, 2678, 1723, 1919, 5034, 304, 607, 278]",sun,6575,6.148955821990967,greedy,sun,[6575],1,3.1517624855041504,False,True,8
"or later ) , according to which the","[470, 2678, 1723, 1919, 5034, 304, 607, 278]",P,349,6.348174571990967,greedy,PP,"[18009, 20495]",2,2.8947501182556152,False,True,8
"or later ) , according to which the","[470, 2678, 1723, 1919, 5034, 304, 607, 278]",s,269,6.453643321990967,greedy,llamado,"[27329, 26698, 7598]",3,1.8464890718460083,False,True,8
= Social engagement and charity =,"[353, 10307, 3033, 5049, 322, 1373, 537, 353]",M,341,4.705286026000977,greedy,månaden,"[16651, 341]",2,1.4656111001968384,False,True,8
= Social engagement and charity =,"[353, 10307, 3033, 5049, 322, 1373, 537, 353]",More,5853,5.342004776000977,greedy,More,[5853],1,2.6181435585021973,False,True,8
= Social engagement and charity =,"[353, 10307, 3033, 5049, 322, 1373, 537, 353]",V,478,5.779504776000977,greedy,Suppose,"[12142, 12549]",2,1.8050832748413086,False,True,8
= Social engagement and charity =,"[353, 10307, 3033, 5049, 322, 1373, 537, 353]",Public,5236,5.951379776000977,greedy,Архив,"[23069, 19858]",2,1.2250328063964844,False,True,8
= Social engagement and charity =,"[353, 10307, 3033, 5049, 322, 1373, 537, 353]",Con,1281,6.150598526000977,greedy,rimonio,"[20598, 9973]",2,2.2475152015686035,False,True,8
= = Phi Kappa Psi,"[353, 353, 1963, 29875, 476, 8055, 349, 1039]",nan,29871,4.594306468963623,greedy,Studios,"[23268, 31856]",2,1.0327613353729248,False,True,8
= = Phi Kappa Psi,"[353, 353, 1963, 29875, 476, 8055, 349, 1039]",Ph,1963,5.856025218963623,greedy,;,[62],1,1.1989696025848389,False,True,8
= = Phi Kappa Psi,"[353, 353, 1963, 29875, 476, 8055, 349, 1039]",D,360,6.473212718963623,greedy,DIS,"[28657, 17803]",2,1.944848656654358,False,True,8
= = Phi Kappa Psi,"[353, 353, 1963, 29875, 476, 8055, 349, 1039]",#,396,7.004462718963623,greedy,Bey,"[18502, 23992, 15913]",3,1.9369289875030518,False,True,8
Cameron Diaz as Princess Fiona,"[20939, 265, 22866, 29920, 408, 22063, 383, 16017]",in,297,2.0205307006835938,greedy,Watch,[24709],1,0.48508474230766296,False,True,8
Cameron Diaz as Princess Fiona,"[20939, 265, 22866, 29920, 408, 22063, 383, 16017]",!,29991,5.520530700683594,greedy,Hello,[10994],1,1.71176016330719,False,True,8
Cameron Diaz as Princess Fiona,"[20939, 265, 22866, 29920, 408, 22063, 383, 16017]",—,813,6.629905700683594,greedy,%,"[40, 30091]",2,0.7349914908409119,False,True,8
Cameron Diaz as Princess Fiona,"[20939, 265, 22866, 29920, 408, 22063, 383, 16017]",were,892,7.379905700683594,gcg,othy,"[20336, 4284, 2243, 6140, 26731, 21620, 18450, 392]",8,1.563377857208252,False,True,8
Cameron Diaz as Princess Fiona,"[20939, 265, 22866, 29920, 408, 22063, 383, 16017]",|,891,7.739280700683594,greedy,|\,[18283],1,0.5989078283309937,False,True,8
Germany in October . Germany dropped the case against K,"[9556, 297, 5533, 869, 9556, 13700, 278, 1206, 2750, 476]",lo,417,4.127082824707031,greedy,icket,[8522],1,1.9584035873413086,False,True,10
Germany in October . Germany dropped the case against K,"[9556, 297, 5533, 869, 9556, 13700, 278, 1206, 2750, 476]",ash,1161,4.673957824707031,greedy,indu,[19910],1,2.3982977867126465,False,True,10
Germany in October . Germany dropped the case against K,"[9556, 297, 5533, 869, 9556, 13700, 278, 1206, 2750, 476]",und,870,5.314582824707031,greedy,powie,"[24592, 25784]",2,1.1219849586486816,False,True,10
Germany in October . Germany dropped the case against K,"[9556, 297, 5533, 869, 9556, 13700, 278, 1206, 2750, 476]",atz,4101,5.646614074707031,greedy,Ari,[25775],1,2.4296631813049316,False,True,10
Germany in October . Germany dropped the case against K,"[9556, 297, 5533, 869, 9556, 13700, 278, 1206, 2750, 476]",ane,1662,5.904426574707031,greedy,Wrestling,[21815],1,3.3089728355407715,False,True,10
 = = = Range and habitat = = =,"[29871, 353, 353, 353, 12146, 322, 17570, 353, 353, 353]",N,405,5.992029666900635,gcg,admin,"[6406, 14562, 18778, 20170]",4,1.3681254386901855,False,True,10
 = = = Range and habitat = = =,"[29871, 353, 353, 353, 12146, 322, 17570, 353, 353, 353]",-,448,6.632654666900635,greedy,<!--,"[10341, 17411]",2,1.0125187635421753,False,True,10
 = = = Range and habitat = = =,"[29871, 353, 353, 353, 12146, 322, 17570, 353, 353, 353]",Bi,3457,6.855310916900635,greedy,istiche,"[29000, 25766, 29000]",3,2.1878793239593506,False,True,10
 = = = Range and habitat = = =,"[29871, 353, 353, 353, 12146, 322, 17570, 353, 353, 353]",T,323,7.171717166900635,greedy,lle,"[19091, 29000]",2,1.67294442653656,False,True,10
". Entertainment and KT Music , while the physical","[29889, 18189, 322, 476, 29911, 6125, 1919, 1550, 278, 9128]",release,6507,2.0953176021575928,greedy,release,[14096],1,1.380584716796875,False,True,10
". Entertainment and KT Music , while the physical","[29889, 18189, 322, 476, 29911, 6125, 1919, 1550, 278, 9128]",product,3234,4.665630340576172,greedy,product,[3234],1,2.3587260246276855,False,True,10
". Entertainment and KT Music , while the physical","[29889, 18189, 322, 476, 29911, 6125, 1919, 1550, 278, 9128]",package,3577,6.048442840576172,greedy,package,[3577],1,2.382155418395996,False,True,10
". Entertainment and KT Music , while the physical","[29889, 18189, 322, 476, 29911, 6125, 1919, 1550, 278, 9128]",market,9999,6.446880340576172,greedy,Abstract,"[9118, 28794]",2,1.0474417209625244,False,True,10
". Entertainment and KT Music , while the physical","[29889, 18189, 322, 476, 29911, 6125, 1919, 1550, 278, 9128]",concept,6964,6.829692840576172,greedy,physical,"[9128, 6964]",2,1.8674036264419556,False,True,10
commercial success . The song peaked at numbers ,"[12128, 2551, 869, 450, 4823, 1236, 12535, 472, 3694, 29871]",7,29955,2.985063076019287,gcg,allas,"[15892, 3275, 12745, 30288, 21245, 13941, 6242, 10409, 14406, 12709]",10,0.04982250556349754,False,True,10
commercial success . The song peaked at numbers ,"[12128, 2551, 869, 450, 4823, 1236, 12535, 472, 3694, 29871]",three,2211,13.254594802856445,gcg,Children,"[19334, 18224, 7625, 15245, 1678, 29632, 20466, 10081, 1659, 17780]",10,2.320230484008789,False,False,10
commercial success . The song peaked at numbers ,"[12128, 2551, 869, 450, 4823, 1236, 12535, 472, 3694, 29871]",�,242,14.078813552856445,gcg,mathbb,"[1995, 31472, 30920, 24684]",4,1.6059749126434326,False,True,10
