question,question_ids,answer,answer_ids
" on his superior army, to entice Mondragón into a pitched battle, planning to use an ambush to draw the Spanish army into a","[313, 545, 8975, 9950, 204, 23, 271, 47110, 26654, 1860, 137, 123, 89, 679, 241, 31410, 6201, 204, 23, 4042, 271, 745, 267, 5407, 1519, 271, 3181, 248, 8693, 9950, 679, 241]",ceived,8806
" the outgoing President, saying, "" For myself and for our Nation, I want to thank my predecessor for all he has done to heal our","[248, 33750, 3503, 204, 23, 3225, 204, 23, 204, 13, 1133, 2838, 273, 312, 568, 12327, 204, 23, 295, 729, 271, 4147, 491, 33109, 312, 455, 332, 504, 1782, 271, 12668, 568]",techn,18355
". Vanity Fair called it the show's fourth @-@ best episode in 2007, as "" this episode's master","[25, 56780, 8239, 1964, 334, 248, 1049, 204, 18, 94, 7705, 204, 43, 24, 43, 935, 6699, 272, 204, 853, 34, 204, 23, 345, 204, 13, 414, 6699, 204, 18, 94, 5099]",Growing,39772
 take back what is Dalmasca's. He is a cheerful and energetic boy. Vaan dreams of someday becoming a sky pirate in command,"[980, 743, 637, 304, 15767, 88, 41726, 204, 18, 94, 204, 25, 707, 304, 241, 32675, 273, 21463, 3420, 204, 25, 22312, 257, 8837, 275, 25899, 5519, 241, 7385, 34292, 272, 5129]", asleep,15630
 Alive match against Vince McMahon. McMahon would go on to win the match with the aid of the Undertaker's half @-,"[45487, 3185, 1542, 41935, 2925, 59803, 204, 25, 2925, 59803, 631, 471, 313, 271, 1596, 248, 3185, 335, 248, 6682, 275, 248, 12505, 686, 3405, 204, 18, 94, 2465, 204, 43, 24]", listens,44650
" 76 North Pole expedition led by George Nares, and Nares's own declaration that the North Pole was "" impracticable ""","[204, 9935, 3082, 36170, 32303, 3803, 431, 6247, 409, 3682, 204, 23, 273, 409, 3682, 204, 18, 94, 946, 21768, 325, 248, 3082, 36170, 398, 204, 13, 902, 891, 29341, 204, 13]", invite,11335
@.@ 5 per cent interest over 36 @.@ 5 years. In his speeches Denny highlighted that many workers were faced with high,"[43, 25, 43, 204, 32, 559, 1376, 1378, 648, 204, 2945, 204, 43, 25, 43, 204, 32, 909, 204, 25, 529, 545, 31014, 60926, 15623, 325, 860, 4862, 646, 9961, 335, 986]", Ceramic,39612
 separated from continental Europe by the North Sea to the east and the English Channel to the south. The country covers much of the central and southern part of the,"[14039, 427, 37253, 2600, 431, 248, 3082, 9519, 271, 248, 10001, 273, 248, 3536, 13444, 271, 248, 6520, 204, 25, 390, 2020, 7604, 866, 275, 248, 5213, 273, 11647, 622, 275, 248]", safely,10772
" in @-@ law, Pullan, and then by Colonel T. H. Minshall in the 1920s. M","[272, 204, 43, 24, 43, 1651, 204, 23, 21299, 257, 204, 23, 273, 832, 431, 32130, 301, 25, 370, 25, 331, 965, 25443, 272, 248, 204, 6182, 27, 94, 204, 25, 331]",India,22630
" it was announced that Rockstar Games would be handling the publishing of the game ; Rockstar only referred to it as a "" next @-@","[334, 398, 4734, 325, 6064, 7835, 8110, 631, 314, 9350, 248, 12744, 275, 248, 1404, 204, 38, 6064, 7835, 736, 8659, 271, 334, 345, 241, 204, 13, 1407, 204, 43, 24, 43]", jam,10361
" The Animals in War Memorial in London commemorates animals, including horses, that served with the British and their allies in all wars. The inscription reads","[390, 28114, 272, 3710, 13950, 272, 4414, 26610, 750, 5632, 204, 23, 1497, 11758, 204, 23, 325, 5410, 335, 248, 5282, 273, 525, 19953, 272, 455, 15219, 204, 25, 390, 44764, 14127]", uninterrupted,49106
" and in 1981 by a simple blue and white shield. In 1987, a complicated and confusing crest was introduced, adapting the Bir","[273, 272, 204, 2747, 28, 431, 241, 2299, 4172, 273, 2612, 13304, 204, 25, 529, 204, 2747, 34, 204, 23, 241, 9060, 273, 16818, 41423, 398, 6723, 204, 23, 35022, 248, 21514]", Reich,35542
" 1 @,@ 000 @,@ 000 cargo of 10 @,@ 000 long tons ( 10 @","[204, 28, 204, 43, 23, 43, 204, 1321, 204, 43, 23, 43, 204, 1321, 16589, 275, 204, 696, 204, 43, 23, 43, 204, 1321, 916, 10920, 204, 19, 204, 696, 204, 43]",Brien,35146
", as well as the fates of other carriers, including Courageous and Glorious, which had sunk rapidly with heavy loss of life, Mau","[23, 345, 779, 345, 248, 261, 750, 275, 599, 20054, 204, 23, 1497, 53310, 498, 273, 2477, 13293, 204, 23, 585, 618, 44232, 9570, 335, 4892, 2690, 275, 1063, 204, 23, 27370]", Plastic,20938
"@ section of building types, locations and ages in the New York area. This study found mercury concentrations significantly elevated over outdoor concentrations, at a range","[43, 3638, 275, 2526, 3059, 204, 23, 6477, 273, 8657, 272, 248, 1184, 2798, 1766, 204, 25, 735, 2220, 1217, 39120, 18683, 6302, 16557, 648, 7220, 18683, 204, 23, 388, 241, 2393]",睡,45143
", 2016, Harmonix ceased downloadable content distribution for The Beatles : Rock Band due to the license expiration, though those that had already purchased","[23, 204, 626, 33, 204, 23, 55916, 939, 34648, 40328, 2147, 6615, 312, 390, 31948, 204, 37, 6064, 10546, 2159, 271, 248, 6863, 31403, 204, 23, 1792, 1014, 325, 618, 1775, 7849]", wave,8564
"@.@ 6 kg ) per rower more than their opponents. As a result of the six @-@ year hiatus, none","[43, 25, 43, 204, 33, 13852, 204, 20, 559, 647, 5445, 520, 661, 525, 17108, 204, 25, 1130, 241, 1226, 275, 248, 2972, 204, 43, 24, 43, 649, 50312, 204, 23, 6342]", Kyr,56419
" by other evidence. Over a century after his time, his administrative decisions were still being cited as precedents. Some of these are known from a","[431, 599, 3941, 204, 25, 4399, 241, 5594, 852, 545, 601, 204, 23, 545, 13080, 5626, 646, 1102, 1003, 16164, 345, 11197, 586, 204, 25, 2660, 275, 783, 362, 2245, 427, 241]",antics,41831
""" Beauty of Sport "" issue, and she was photographed in Las Vegas wearing a bikini. She hoped to increase interest in paralympic sport and","[13, 15805, 275, 10450, 204, 13, 2645, 204, 23, 273, 674, 398, 34784, 272, 7388, 10527, 6605, 241, 38369, 204, 25, 1261, 13722, 271, 2638, 1378, 272, 30088, 1195, 20618, 5456, 273]", fotos,41111
 which was of great importance to early textile manufacturing. The inventions of the artisan @-@ engineer Ding Huan ( 丁緩 ,"[585, 398, 275, 914, 6107, 271, 2304, 31859, 7546, 204, 25, 390, 49734, 275, 248, 45023, 204, 43, 24, 43, 14602, 50971, 370, 8183, 204, 19, 204, 60385, 173, 127, 114, 204]", spectacle,32898
"'s 335 votes. White ran for election to his seat in 1793 against Page, Thomas Buck, and James Singleton.","[18, 94, 204, 30946, 11956, 204, 25, 4339, 6328, 312, 6675, 271, 545, 6106, 272, 204, 14824, 30, 1542, 7846, 204, 23, 6962, 15144, 204, 23, 273, 4826, 5215, 12517, 204, 25]", baj,42133
". It grossed approximately NZ $ 51 @,@ 453 on five screens in New Zealand. Dhoom 2 is estimated to have","[25, 605, 11644, 269, 7122, 26755, 204, 15, 204, 6559, 204, 43, 23, 43, 204, 40858, 313, 2505, 10951, 272, 1184, 10891, 204, 25, 22734, 3221, 204, 29, 304, 8719, 271, 413]", suit,6452
" Marshall uses cannabidiol ( CBD ), a chemical extract of the cannabis plant, to treat the symptoms of CTE that he suffers from ","[19868, 4004, 7671, 50349, 204, 19, 5821, 204, 20, 204, 23, 241, 6311, 7297, 275, 248, 12258, 3293, 204, 23, 271, 1796, 248, 5699, 275, 319, 5911, 325, 332, 30098, 427, 204]",ennial,33537
". The more comprehensive March 1970 Agreement of Tomos of Autocephaly, however, states in Article VIII that the legal name of","[204, 25, 390, 520, 7514, 3102, 204, 3344, 27, 13480, 275, 5736, 363, 275, 9501, 333, 747, 9583, 204, 23, 2537, 204, 23, 3800, 272, 10495, 39503, 325, 248, 3309, 1536, 275]", Lance,31575
" Frank Meyer said that the album was "" one of the earliest records, along with Run @-@ DMC, to combine the vocal approach","[6425, 29810, 746, 325, 248, 5026, 398, 204, 13, 532, 275, 248, 19419, 5769, 204, 23, 1858, 335, 8848, 204, 43, 24, 43, 361, 9175, 204, 23, 271, 10836, 248, 15189, 3213]",ypse,34283
" to be merged to form the new university, and there were other possible candidates for the presidency. Albert A. Murphree, president of Florida","[271, 314, 30245, 271, 1052, 248, 627, 7039, 204, 23, 273, 629, 646, 599, 1777, 7674, 312, 248, 30352, 204, 25, 17018, 317, 25, 7980, 747, 609, 204, 23, 4179, 275, 5837]",arrings,20381
" an active Anglican church located between Alt and Bland Streets, Ashfield, a suburb of Sydney, Australia. Founded in 1840 ","[267, 4109, 55811, 4731, 3890, 1192, 14956, 273, 341, 1205, 41503, 204, 23, 9769, 3785, 204, 23, 241, 40479, 275, 13684, 204, 23, 5403, 204, 25, 45674, 272, 204, 11804, 27, 204]", MIN,27941
" Canadiens also had an intraprovincial rivalry with the Quebec Nordiques during its existence from 1979 @-@ 1995, nick","[1853, 12625, 594, 614, 618, 267, 19900, 14206, 19636, 40793, 335, 248, 26090, 13627, 3429, 1365, 701, 8508, 427, 204, 3344, 36, 204, 43, 24, 43, 204, 1840, 32, 204, 23, 15129]", meses,28545
 pen and ink. A trademark of his Malay characters is their three @-@ loop noses. Lat paid attention to family life and children because of,"[3646, 273, 12802, 204, 25, 317, 20767, 275, 545, 50504, 5058, 304, 525, 1373, 204, 43, 24, 43, 10761, 53126, 204, 25, 6085, 4065, 3197, 271, 1443, 1063, 273, 1770, 875, 275]", Mixing,59071
" last of these. The publisher, Love Romances Inc., also published Planet Stories, and Malcolm Reiss, Planet '","[1143, 275, 783, 204, 25, 390, 17295, 204, 23, 5072, 4577, 1755, 3670, 204, 25, 204, 23, 614, 4002, 18987, 16547, 204, 23, 273, 36880, 814, 740, 204, 23, 18987, 204, 18]", Webster,38331
 Station in late October where he blockaded various German merchant ships in American and Mexican harbours. She intercepted the German ocean liner Columbus off Cape Hatteras,"[11415, 272, 3297, 3692, 881, 332, 3201, 9163, 2458, 6438, 24064, 13118, 272, 2281, 273, 14160, 4687, 61183, 204, 25, 1261, 64547, 248, 6438, 10166, 29347, 22912, 597, 17296, 370, 2830, 277]", underneath,15636
"79 @.@ 9 ° F ). In considering temperature, location in terms of latitude and longitude is not a significant factor ","[7262, 204, 43, 25, 43, 204, 36, 20691, 378, 204, 20, 204, 25, 529, 6541, 5272, 204, 23, 3584, 272, 3072, 275, 46362, 273, 916, 4064, 304, 416, 241, 2589, 5864, 204]", Krank,59040
