question,question_ids,answer,answer_ids,base_loss,search_method,best_prompt,best_prompt_ids,prompt_length,prompted_loss,base_correct,prompt_correct,question_length
. In 193,"[25, 529, 204, 6128]",6 ,"[33, 204]",3.796875,gcg, crystalline,"[59389, 38700, 41753, 13796, 20943, 38833, 63747, 63747, 51728, 61593, 6785, 22564, 45795, 57006, 8275, 47472, 28082, 63393, 686, 52041, 53212, 20854, 37724, 25467, 46553, 57765, 192, 10339, 20305, 24777, 52704, 52797, 204, 50041, 48579, 61645, 1991, 9299, 10526, 56795, 15456, 61397, 13726, 37301, 19254, 242, 31370, 11259, 6151, 62138, 491, 49594, 55891, 8422, 63681, 11819, 8420, 50091, 11717, 375, 14549, 27817, 192, 8]",64,0.84765625,False,True,4
. He also,"[204, 25, 707, 614]", narrated the,"[62327, 248]",5.0,gcg, Sentinel,"[50604, 32064, 58108, 43448, 16284, 1358, 4020, 23276, 8307, 63135, 34719, 40331, 62689, 52653, 53264, 18804, 286, 42760, 14539, 61495, 55928, 3442, 18876, 57341, 7463, 18837, 44245, 46693, 25129, 42287, 23787, 24335, 34101, 268, 23956, 5448, 61436, 4853, 50092, 17123, 35347, 11116, 20392, 60638, 32242, 2179, 25577, 26585, 34816, 59441, 19207, 17938, 39419, 62745, 18459, 48599, 46364, 32636, 36880, 36021, 62327, 56050, 16066, 62327]",64,0.412109375,False,True,4
 highly destructive eye ,"[3766, 25914, 3883, 204]",@-,"[43, 24]",7.375,gcg,"


","[11331, 10575, 34082, 38707, 29679, 19266, 7581, 1096, 58996, 47595, 42166, 40843, 63985, 31241, 20469, 48725, 18291, 6635, 50614, 45160, 3891, 60766, 50619, 51386, 40688, 14799, 252, 24095, 10027, 18848, 4322, 8525, 57158, 872, 44201, 46772, 94, 46501, 27247, 14717, 36798, 55978, 11294, 51715, 13331, 20054, 31277, 36806, 57136, 55277, 40265, 1137, 60093, 25178, 6314, 15061, 29238, 40005, 42333, 19598, 36039, 192, 43, 24]",64,0.162109375,False,True,4
s Global Nuclear Threat,"[94, 6736, 28942, 31726]", Reduction Initiative,"[28657, 19976]",0.6796875,greedy, undermine,[34193],1,0.189453125,False,True,4
", at ten","[204, 23, 388, 3020]", shillings,"[421, 350, 621]",2.234375,gcg, Delight,"[57589, 48459, 889, 2069, 1499, 21874, 12731, 5439, 12009, 53475, 29430, 18310, 33450, 9410, 39620, 7059, 46802, 44032, 32626, 6039, 60805, 40080, 48575, 45452, 12627, 56389, 47451, 39207, 5064, 44273, 6924, 43289, 45564, 33844, 59860, 63515, 52159, 54858, 43174, 35304, 2294, 55832, 30134, 42328, 58363, 53066, 3669, 46199, 13017, 37733, 791, 57868, 104, 63797, 40931, 53746, 30081, 21689, 16483, 49592, 28106, 849, 2499, 32659]",64,0.10546875,False,True,4
 ejection of Portland,"[293, 26209, 275, 16401]",'s,"[204, 18, 94]",3.125,gcg, flashed,"[32370, 35206, 49762, 47428, 43494, 6304, 1654, 19744, 45875, 60640, 1286, 21528, 46893, 53582, 25759, 8931, 10619, 49576, 4239, 50315, 46795, 50026, 47663, 50854, 8968, 39796, 26577, 57864, 7479, 32931, 22459, 18921, 36806, 12230, 6705, 49912, 62136, 7247, 53909, 28581, 7911, 32325, 8712, 2394, 51282, 18658, 8506, 44563, 57321, 6806, 59361, 16021, 26969, 60359, 35184, 34915, 19876, 49576, 36232, 27568, 122, 33649, 53441, 53975]",64,1.453125,False,True,4
-@ A Trent,"[24, 43, 317, 24172]",on Thunder of,"[245, 22482, 275]",5.53125,gcg, shovel,"[50357, 31170, 62377, 23267, 57643, 24520, 2564, 9396, 42275, 10339, 9770, 31240, 50118, 1821, 19542, 4168, 18600, 20561, 29173, 53197, 47099, 60147, 14876, 37405, 62729, 42566, 37088, 43879, 22862, 27356, 33701, 48227, 36521, 56742, 4588, 37204, 38785, 4102, 7112, 30361, 60735, 7608, 30303, 57887, 15427, 317, 25505, 22482, 63040, 17319, 50837, 22368, 336, 34164, 275, 64473, 50631, 28076, 273, 10066, 35675, 21696, 88, 6577]",64,0.1591796875,False,True,4
@ 000 ,"[43, 204, 1321, 204]",", though the","[23, 1792, 248]",5.1875,gcg, conversation,"[5501, 62168, 3321, 32220, 22217, 31730, 60551, 45245, 25784, 30843, 8758, 60607, 3132, 15012, 26796, 55801, 115, 13009, 35706, 48759, 49663, 31762, 27364, 30821, 56880, 56884, 56973, 3873, 8206, 49171, 53857, 41322, 54793, 41477, 32672, 55692, 10578, 39570, 62297, 55133, 51125, 3029, 15068, 13383, 22805, 49851, 41755, 39585, 12846, 55349, 1321, 4346, 373, 61482, 64916, 60400, 8994, 21916, 30381, 193, 414, 57890, 27677, 64598]",64,3.0625,False,False,4
. He was allowed,"[25, 707, 398, 4217]", to work in an,"[271, 633, 272, 267]",2.71875,gcg, Jacket,"[32494, 37443, 19273, 1603, 41741, 63414, 22754, 40311, 44286, 61146, 25251, 58435, 4397, 64064, 767, 15339, 55534, 34773, 9442, 47217, 35973, 43547, 20539, 48778, 57365, 31676, 7288, 50513, 10041, 31205, 23179, 8335, 580, 63127, 17678, 52052, 27726, 2691, 46292, 27533, 30341, 768, 49138, 47585, 192, 28673, 47566, 35535, 41634, 48752, 1164, 31832, 7187, 12955, 5591, 1443, 26234, 29222, 25303, 36607, 45945, 951, 46096, 45945]",64,1.1875,False,False,4
 Earl of Eust,"[25738, 275, 399, 411]","on, as","[245, 204, 23, 345]",3.125,gcg, agli,"[32627, 14053, 26137, 61909, 28009, 1863, 51212, 9227, 15468, 6374, 293, 14711, 26492, 509, 705, 12693, 9560, 31161, 11712, 61756, 4835, 28634, 25579, 57548, 38510, 56430, 50997, 438, 20318, 1446, 19809, 32388, 13594, 327, 47349, 101, 54740, 18304, 26516, 54014, 24843, 17210, 14002, 64105, 26608, 31729, 37565, 35945, 1225, 33371, 36044, 17510, 14252, 22531, 2325, 49848, 47585, 13404, 36496, 35381, 5684, 1636, 4610, 57842]",64,1.8515625,False,False,4
