question,question_ids,answer,answer_ids,base_loss,search_method,best_prompt,best_prompt_ids,prompt_length,prompted_loss,base_correct,prompt_correct,question_length
", President Christ","[204, 23, 3503, 1781]",ophe S,"[43356, 302]",3.515625,gcg,Challenge,"[51533, 16053, 16937, 23254, 58764, 12573, 58764, 35348]",8,0.443359375,False,True,4
 professional career from an,"[2800, 3579, 427, 267]", early age,"[2304, 2521]",0.380859375,base,,[],0,0.380859375,True,True,4
. However ,"[204, 25, 2071, 204]",", as they","[23, 345, 506]",3.0,gcg,te,"[464, 63043, 16194, 49741, 2717, 6983, 43655, 715, 50634, 253, 2392, 10165, 47397, 345, 34378, 54463]",16,0.2197265625,False,True,4
", 200","[204, 23, 204, 853]",8 –,"[35, 204, 600]",2.5,gcg, forecasting,"[37983, 607, 54395, 19689, 1271, 20923, 49413, 51362]",8,0.328125,False,True,4
", and 16","[23, 273, 204, 1243]", RBI. Also,"[34657, 204, 25, 3767]",5.5,gcg, admin,"[11712, 39940, 62718, 18828, 62443, 24607, 52781, 20112, 30518, 8962, 9223, 15660, 43634, 24017, 2888, 243, 50488, 64549, 243, 13331, 46068, 55330, 47889, 484, 48148, 242, 42175, 7509, 48893, 24334, 20952, 61844, 39556, 15050, 2900, 63886, 31919, 18556, 19220, 247, 9654, 43248, 323, 3779, 6762, 60806, 49020, 614, 14173, 44333, 57458, 14173, 12800, 30330, 1850, 61698, 269, 25, 12419, 57383, 2869, 28740, 19699, 55480]",64,1.28125,False,True,4
s second expedition to,"[94, 1459, 32303, 271]", the Pacific (,"[248, 9807, 204, 19]",2.125,gcg, Aquarius,"[62299, 32774, 57726, 23848]",4,0.40625,False,True,4
 ( Frances Conroy ) reminds,"[204, 19, 23423, 1412, 4968, 204, 20, 15395]", Vivien,"[24786, 1423]",3.484375,gcg,Scene,"[36128, 6873, 894, 31693]",4,0.88671875,False,True,8
 How to Beat Jet Lag. New,"[1265, 271, 14542, 19692, 16929, 204, 25, 1184]", York ,"[2798, 204]",2.0,greedy,ître,[20999],1,0.455078125,False,True,8
 dance called'the spirit of the,"[7070, 1964, 204, 18, 248, 4176, 275, 248]", flame ',"[18988, 204, 18]",2.890625,greedy,watch,"[18273, 62506]",2,0.95703125,False,True,8
 rating of 12 @.@,"[8689, 275, 204, 928, 204, 43, 25, 43]", 8 and,"[204, 35, 273]",4.875,gcg, WANT,"[51478, 11627, 35654, 37588, 24602, 21388, 12426, 17172, 47728, 62427, 14513, 35911, 43061, 59324, 57737, 13111, 61871, 53320, 50443, 9131, 51376, 18296, 56863, 46369, 13228, 8423, 30112, 37490, 52866, 38518, 19417, 782, 42901, 8360, 10368, 8465, 4668, 22177, 47213, 269, 485, 48006, 47397, 15359, 46924, 44681, 64496, 48457, 204, 53596, 51355, 2537, 55727, 61895, 94, 7619, 7468, 49275, 60663, 30492, 8028, 3688, 24673, 39379]",64,0.59375,False,True,8
's photosphere is completely covered,"[204, 18, 94, 1776, 7723, 304, 3259, 5178]", by the Moon ,"[431, 248, 11276, 204]",2.109375,greedy, basal,"[45801, 47106]",2,0.57421875,False,True,8
mi was more responsive to his fellow athletes,"[7392, 398, 520, 18077, 271, 545, 8118, 12634]", than to the media,"[661, 271, 248, 2398]",1.8515625,greedy,Often,"[36460, 27124]",2,1.0234375,False,True,8
 7 : 40 and returning from Oslo at 18 : ,"[204, 34, 204, 37, 204, 1738, 273, 10169, 427, 44539, 388, 204, 1121, 204, 37, 204]",00 ,"[527, 204]",2.21875,greedy,00,[527],1,0.83203125,False,True,16
"@ Files. It premiered on the Fox network on January 10,","[43, 21890, 204, 25, 605, 48164, 313, 248, 10685, 3041, 313, 3675, 204, 696, 204, 23]", 199,"[204, 1840]",0.9921875,greedy,psons,[61172],1,0.4453125,False,True,16
 allow Red Star to hire non @-@ American crews at lower cost ,"[1708, 3509, 5575, 271, 8690, 1462, 204, 43, 24, 43, 2281, 28405, 388, 3089, 1458, 204]",. She made,"[25, 1261, 1021]",5.875,gcg, molecules,"[19941, 50036, 10819, 38568, 17222, 17009, 39737, 60418, 1381, 58107, 63697, 36277, 44447, 32701, 57443, 60725, 46921, 41331, 25861, 54867, 45679, 29631, 50720, 29108, 621, 42497, 11911, 26537, 59213, 1647, 39066, 14118, 4131, 56054, 204, 11873, 12220, 54268, 16295, 6062, 49523, 42515, 12848, 6297, 48472, 1137, 5845, 18578, 14582, 40542, 44779, 51858, 34104, 30112, 55663, 63981, 11427, 19024, 44571, 62885, 14616, 38111, 41255, 573]",64,2.5625,False,False,16
