question,question_ids,answer,answer_ids,base_loss,search_method,best_prompt,best_prompt_ids,prompt_length,prompted_loss,base_correct,prompt_correct,question_length
= French battleship Jaurég,"[353, 5176, 8957, 793, 4034, 435, 6698, 2445]",a,29874,7.967374801635742,gcg,ge,"[479, 1431, 22429, 19369]",4,0.1838171482086181,False,True,8
= French battleship Jaurég,"[353, 5176, 8957, 793, 4034, 435, 6698, 2445]",ence,663,9.920499801635742,gcg,I,"[29902, 7781, 29179, 346]",4,0.0013975863112136,False,True,8
= French battleship Jaurég,"[353, 5176, 8957, 793, 4034, 435, 6698, 2445]",uc,1682,10.350187301635742,greedy,odn,"[22452, 12659, 19644]",3,0.3620651662349701,False,True,8
= French battleship Jaurég,"[353, 5176, 8957, 793, 4034, 435, 6698, 2445]",;,29936,11.123624801635742,gcg,Î,"[11683, 2445, 8773, 2670]",4,0.3375715017318725,False,True,8
= French battleship Jaurég,"[353, 5176, 8957, 793, 4034, 435, 6698, 2445]",ates,1078,11.682218551635742,gcg,Rece,"[24328, 56, 5035, 3327]",4,1.3846876621246338,False,True,8
"or later ) , according to which the","[470, 2678, 1723, 1919, 5034, 304, 607, 278]",only,871,5.609893321990967,greedy,Julius,"[23762, 24517]",2,3.1812233924865723,False,True,8
"or later ) , according to which the","[470, 2678, 1723, 1919, 5034, 304, 607, 278]",body,3573,6.023955821990967,greedy,pse,[27358],1,3.628978729248047,False,True,8
"or later ) , according to which the","[470, 2678, 1723, 1919, 5034, 304, 607, 278]",soul,10752,6.262237071990967,greedy,soul,[10752],1,2.5286569595336914,False,True,8
"or later ) , according to which the","[470, 2678, 1723, 1919, 5034, 304, 607, 278]",maximum,7472,6.426299571990967,gcg,MAX,"[18134, 18670, 10408, 10695]",4,1.9442689418792725,False,True,8
= Social engagement and charity =,"[353, 10307, 3033, 5049, 322, 1373, 537, 353]","
",13,3.978723764419556,greedy,"
",[13],1,0.1690545976161956,False,True,8
= Social engagement and charity =,"[353, 10307, 3033, 5049, 322, 1373, 537, 353]",F,383,5.177942276000977,greedy,ashion,[10904],1,3.44744610786438,False,True,8
