question,question_ids,answer,answer_ids,base_loss,search_method,best_prompt,best_prompt_ids,prompt_length,prompted_loss,base_correct,prompt_correct,question_length
" following his debut album, but received","[1863, 545, 9654, 5026, 204, 23, 480, 3245]", poor,4439,3.40625,greedy, program,"[1283, 64169]",2,2.125,False,True,8
" following his debut album, but received","[1863, 545, 9654, 5026, 204, 23, 480, 3245]", limited,3991,4.09375,gcg,VAILABLE,"[57717, 45176, 2675, 1866, 6257, 54300]",6,1.328125,False,True,8
" following his debut album, but received","[1863, 545, 9654, 5026, 204, 23, 480, 3245]", low,1958,4.71875,gcg,cong,"[43347, 43427, 8897, 9796, 1958, 595]",6,0.9765625,False,True,8
" following his debut album, but received","[1863, 545, 9654, 5026, 204, 23, 480, 3245]", largely,9540,5.34375,gcg, striker,"[39786, 94, 27267, 62128]",4,1.4921875,False,True,8
" following his debut album, but received","[1863, 545, 9654, 5026, 204, 23, 480, 3245]", significant,2589,5.75,gcg,iri,"[17017, 59499, 9092, 16498, 50010, 59286]",6,2.046875,False,True,8
" following his debut album, but received","[1863, 545, 9654, 5026, 204, 23, 480, 3245]", strong,2127,6.0625,gcg, Speakers,"[39599, 15911, 50439, 21568, 38415, 43190, 4774, 50740, 11330, 43346]",10,3.671875,False,False,8
" following his debut album, but received","[1863, 545, 9654, 5026, 204, 23, 480, 3245]", further,2515,6.40625,gcg, masturbation,"[55868, 24874, 8894, 23335]",4,2.421875,False,True,8
" following his debut album, but received","[1863, 545, 9654, 5026, 204, 23, 480, 3245]", greater,4385,6.59375,gcg, access,"[1565, 12129, 30337, 18336, 392, 44442]",6,2.484375,False,True,8
" following his debut album, but received","[1863, 545, 9654, 5026, 204, 23, 480, 3245]", several,1988,6.71875,gcg,Nord,"[57795, 19222, 458, 56479, 60136, 28410, 56358, 48852, 37, 51521]",10,3.125,False,False,8
 had been killed during the previous six months,"[618, 650, 6109, 1365, 248, 2732, 2972, 2137]",",",23,1.65625,greedy,不仅,[59749],1,0.6171875,False,True,8
 had been killed during the previous six months,"[618, 650, 6109, 1365, 248, 2732, 2972, 2137]", was,398,4.90625,greedy, Whoever,[55500],1,1.5,False,True,8
 had been killed during the previous six months,"[618, 650, 6109, 1365, 248, 2732, 2972, 2137]", had,618,5.40625,greedy, Whatever,[16024],1,1.3203125,False,True,8
 had been killed during the previous six months,"[618, 650, 6109, 1365, 248, 2732, 2972, 2137]","
",193,5.8125,greedy,✓,"[40122, 57596]",2,0.8125,False,True,8
 had been killed during the previous six months,"[618, 650, 6109, 1365, 248, 2732, 2972, 2137]", after,852,6.375,gcg,Lov,"[29798, 36956, 42803, 63871, 6109, 62750, 22597, 47580, 60579, 28589]",10,0.7265625,False,True,8
 had been killed during the previous six months,"[618, 650, 6109, 1365, 248, 2732, 2972, 2137]", are,362,6.78125,greedy,Plot,"[44737, 60711, 569]",3,1.921875,False,True,8
 had been killed during the previous six months,"[618, 650, 6109, 1365, 248, 2732, 2972, 2137]", compared,4354,7.3125,gcg, setups,"[54480, 33033, 8186, 62785, 52042, 45211, 45579, 19951]",8,0.83203125,False,True,8
 had been killed during the previous six months,"[618, 650, 6109, 1365, 248, 2732, 2972, 2137]","""",13,7.5625,greedy, terme,"[39129, 36907]",2,1.1875,False,True,8
 had been killed during the previous six months,"[618, 650, 6109, 1365, 248, 2732, 2972, 2137]", if,565,7.8125,greedy,'',"[7544, 34623, 63301]",3,1.0859375,False,True,8
 had been killed during the previous six months,"[618, 650, 6109, 1365, 248, 2732, 2972, 2137]", among,2369,8.0,gcg, Fee,"[24395, 58461, 57186, 19146, 34469, 17352, 14854, 55771, 50685, 12731]",10,0.94140625,False,True,8
. The Anglo @-@,"[204, 25, 390, 42991, 204, 43, 24, 43]", and,273,4.65625,greedy,Different,"[30793, 47602]",2,1.8203125,False,True,8
. The Anglo @-@,"[204, 25, 390, 42991, 204, 43, 24, 43]", the,248,5.4375,greedy,Kansas,"[59065, 41407]",2,1.7578125,False,True,8
. The Anglo @-@,"[204, 25, 390, 42991, 204, 43, 24, 43]",/,26,5.84375,greedy, nationalist,"[51921, 43, 57390]",3,2.015625,False,True,8
. The Anglo @-@,"[204, 25, 390, 42991, 204, 43, 24, 43]", symbol,5958,5.96875,greedy,symbol,[32694],1,1.6796875,False,True,8
. The Anglo @-@,"[204, 25, 390, 42991, 204, 43, 24, 43]", A,317,6.25,gcg,[@,"[15393, 42991, 16659, 47405]",4,0.890625,False,True,8
. The Anglo @-@,"[204, 25, 390, 42991, 204, 43, 24, 43]", Indian,4673,6.5,greedy,>>INTRODUCTION<<,"[2, 40001]",2,1.875,False,True,8
. The Anglo @-@,"[204, 25, 390, 42991, 204, 43, 24, 43]", to,271,6.625,gcg,@,"[43, 534, 42032, 14952, 61426, 1239]",6,2.015625,False,True,8
. The Anglo @-@,"[204, 25, 390, 42991, 204, 43, 24, 43]", culture,3922,6.71875,greedy, BTW,"[43383, 3922]",2,1.375,False,True,8
. The Anglo @-@,"[204, 25, 390, 42991, 204, 43, 24, 43]", dialect,33567,6.875,gcg,Hyd,"[31117, 62885, 43, 33567]",4,0.5703125,False,True,8
12 st 9 lb ( ,"[928, 324, 204, 36, 20364, 204, 19, 204]",2,29,2.90625,greedy, gaining,[15497],1,1.8984375,False,True,8
12 st 9 lb ( ,"[928, 324, 204, 36, 20364, 204, 19, 204]",11,1069,4.125,greedy,“,"[488, 27260]",2,2.171875,False,True,8
12 st 9 lb ( ,"[928, 324, 204, 36, 20364, 204, 19, 204]",19,660,4.9375,greedy,Distance,[32384],1,2.15625,False,True,8
12 st 9 lb ( ,"[928, 324, 204, 36, 20364, 204, 19, 204]",24,1463,5.25,greedy, Sitting,"[43833, 27895]",2,1.4296875,False,True,8
12 st 9 lb ( ,"[928, 324, 204, 36, 20364, 204, 19, 204]",65,4224,5.46875,greedy, Lyn,"[12832, 2707]",2,1.8828125,False,True,8
12 st 9 lb ( ,"[928, 324, 204, 36, 20364, 204, 19, 204]",62,7720,5.78125,gcg, Barg,"[51315, 53543, 64246, 23402, 21203, 11212]",6,1.125,False,True,8
12 st 9 lb ( ,"[928, 324, 204, 36, 20364, 204, 19, 204]",70,2693,6.03125,greedy, pigs,"[28039, 31915]",2,2.03125,False,True,8
12 st 9 lb ( ,"[928, 324, 204, 36, 20364, 204, 19, 204]",50,1223,6.125,greedy, Papers,[26531],1,2.671875,False,True,8
12 st 9 lb ( ,"[928, 324, 204, 36, 20364, 204, 19, 204]",53,6765,6.40625,greedy,听到,"[52611, 48286, 33058]",3,2.140625,False,True,8
0s = = =,"[27, 94, 204, 40, 204, 40, 204, 40]", ,204,0.17578125,base,,[],0,-1.0,True,True,8
0s = = =,"[27, 94, 204, 40, 204, 40, 204, 40]", a,241,6.90625,gcg,Anthony,"[42987, 33486, 276, 35206, 23439, 15552, 18741, 10695, 13315, 241]",10,1.1796875,False,False,8
0s = = =,"[27, 94, 204, 40, 204, 40, 204, 40]",The,487,7.46875,gcg,HOW,"[37826, 38958, 583, 55657, 54172, 3208, 57177, 61366, 29733, 48294]",10,0.26953125,False,True,8
0s = = =,"[27, 94, 204, 40, 204, 40, 204, 40]", P,337,7.75,gcg,Tax,"[23569, 39941, 63408, 13966, 4, 21457, 54834, 337]",8,0.65625,False,True,8
0s = = =,"[27, 94, 204, 40, 204, 40, 204, 40]", It,605,7.8125,gcg, Floating,"[52052, 26203, 61798, 40053, 63349, 39030, 45278, 328]",8,1.1484375,False,True,8
0s = = =,"[27, 94, 204, 40, 204, 40, 204, 40]", You,781,7.9375,greedy,viagra,"[39956, 17675]",2,0.93359375,False,True,8
0s = = =,"[27, 94, 204, 40, 204, 40, 204, 40]", b,262,8.125,gcg, heritage,"[14073, 35384, 26603, 27267, 56632, 262, 2984, 11469]",8,0.55859375,False,True,8
0s = = =,"[27, 94, 204, 40, 204, 40, 204, 40]", What,1634,8.25,gcg,New,"[3478, 1510, 52748, 40386, 16943, 60455, 12469, 26234, 21261, 60850]",10,3.796875,False,False,8
0s = = =,"[27, 94, 204, 40, 204, 40, 204, 40]", To,1472,8.4375,gcg, thousands,"[5780, 35316, 4962, 16350, 14469, 44125, 61923, 254, 39895, 23344]",10,1.9453125,False,False,8
