question,question_ids,answer,answer_ids
"'s 335 votes. White ran for election to his seat in 1793 against Page, Thomas Buck, and James Singleton.","[18, 94, 204, 30946, 11956, 204, 25, 4339, 6328, 312, 6675, 271, 545, 6106, 272, 204, 14824, 30, 1542, 7846, 204, 23, 6962, 15144, 204, 23, 273, 4826, 5215, 12517, 204, 25]",ceived,8806
 with a long tail and a relatively small head. Adults had skulls up to 56 cm ( 22 in ) long and were up to,"[335, 241, 916, 6804, 273, 241, 6976, 1385, 1319, 204, 25, 30731, 618, 23046, 94, 510, 271, 204, 5499, 6401, 204, 19, 204, 1671, 272, 204, 20, 916, 273, 646, 510, 271]",techn,18355
" the position, recommending former Band of Joy drummer John Bonham. Jones inquired about the vacant position at the suggestion of his wife after Dreja dropped out","[248, 2524, 204, 23, 34499, 3734, 10546, 275, 13983, 37561, 2345, 7321, 3656, 204, 25, 8447, 58229, 544, 248, 31523, 2524, 388, 248, 14722, 275, 545, 4162, 852, 33875, 4404, 7623, 495]",Growing,39772
" were reformed, still with the 137th ( Staffordshire ) Brigade of 46th ( North Midland ) Division. In","[646, 8536, 269, 204, 23, 1102, 335, 248, 204, 19469, 420, 204, 19, 41295, 13500, 204, 20, 46974, 275, 204, 4559, 420, 204, 19, 3082, 55849, 204, 20, 9952, 204, 25, 529]", asleep,15630
" chemist, physicist, inventor and early gentleman scientist. He is largely regarded one of the founders of modern chemistry and is best known for the formulation of","[62276, 204, 23, 62080, 204, 23, 44585, 273, 2304, 23034, 18887, 204, 25, 707, 304, 9540, 15475, 532, 275, 248, 25834, 275, 3424, 16853, 273, 304, 935, 2245, 312, 248, 28313, 275]", listens,44650
 his peers during off @-@ seasons. He was a member of the Dallas Stars'staff as the team's player development consultant during,"[545, 15939, 1365, 597, 204, 43, 24, 43, 10770, 204, 25, 707, 398, 241, 3281, 275, 248, 12966, 16714, 204, 18, 2900, 345, 248, 1255, 204, 18, 94, 3850, 2138, 16245, 1365]", invite,11335
 @-@ fueled power plants and two nuclear power plants were built on the bay shores. A backlash against development led to the 1968 designation of,"[204, 43, 24, 43, 37798, 1484, 5561, 273, 847, 9048, 1484, 5561, 646, 3426, 313, 248, 14697, 37211, 204, 25, 317, 41732, 1542, 2138, 3803, 271, 248, 204, 3954, 35, 29745, 275]", Ceramic,39612
", Ontario. The university's main campus is bordered to the south by Lake Ontario, Kingston General Hospital to the southeast, city parks","[23, 13805, 204, 25, 390, 7039, 204, 18, 94, 1316, 8500, 304, 21256, 1263, 271, 248, 6520, 431, 6215, 13805, 204, 23, 37949, 4860, 7735, 271, 248, 37504, 204, 23, 2295, 14157]", safely,10772
 Field is the site where the declaration of Sabah's independence and formation of Malaysia took place. The declaration was announced by Sabah's,"[9191, 304, 248, 1692, 881, 248, 21768, 275, 12116, 943, 204, 18, 94, 14905, 273, 9962, 275, 16351, 2065, 1237, 204, 25, 390, 21768, 398, 4734, 431, 12116, 943, 204, 18, 94]",India,22630
" Making matters worse, within the city the river's bed was narrowed by encroaching construction due to demographic pressure. The supports of numerous unregulated","[13519, 7031, 6068, 204, 23, 1574, 248, 2295, 248, 8095, 204, 18, 94, 2328, 398, 31116, 431, 61236, 2594, 4474, 2159, 271, 23041, 3712, 204, 25, 390, 7244, 275, 5593, 476, 34463]", jam,10361
 A614 road and the Doncaster to Cleethorpes railway near Thorne South railway station. The railway remains close to the northern bank for most of,"[317, 41842, 3006, 273, 248, 2848, 30414, 271, 11784, 728, 252, 8945, 23745, 2578, 18492, 579, 2993, 23745, 5663, 204, 25, 390, 23745, 5517, 2469, 271, 248, 12569, 3302, 312, 758, 275]", uninterrupted,49106
" New York City borough of Queens, near the city's border with Nassau County. The complex is located next to the Long Island Jewish Medical","[1184, 2798, 2681, 44527, 275, 18323, 204, 23, 2578, 248, 2295, 204, 18, 94, 6892, 335, 47531, 540, 3402, 204, 25, 390, 3591, 304, 3890, 1407, 271, 248, 5820, 6252, 9272, 6413]", Reich,35542
 Haifa to the 1st Guards Brigade on 6 April. Gradually the division's units left the country. The division ',"[6504, 31256, 271, 248, 204, 28, 288, 48888, 46974, 313, 204, 33, 3242, 204, 25, 12647, 981, 248, 9936, 204, 18, 94, 6398, 1786, 248, 2020, 204, 25, 390, 9936, 204, 18]",Brien,35146
" did not allow reporters opportunities to ask him questions on his position. Some Canadians, including many Arab and Lebanese Canadians, criticized Harper's description","[826, 416, 1708, 19869, 4269, 271, 1383, 801, 2355, 313, 545, 2524, 204, 25, 2660, 28443, 204, 23, 1497, 860, 8065, 273, 46620, 28443, 204, 23, 27917, 22957, 204, 18, 94, 6485]", Plastic,20938
" there in 1946, but the law was unpopular and barely enforced. The Egyptian government banned infibulation in state @-@ run hospitals","[629, 272, 204, 5387, 33, 204, 23, 480, 248, 1651, 398, 50866, 273, 10311, 31635, 204, 25, 390, 22559, 2183, 17114, 1129, 518, 2009, 272, 1592, 204, 43, 24, 43, 1257, 11742]",睡,45143
" on complete autonomy, a condition rejected by the Albanian delegates, and negotiations reached a deadlock. Meanwhile, Epirote bands entered Er","[313, 2615, 29955, 204, 23, 241, 3711, 14937, 431, 248, 56183, 715, 29405, 204, 23, 273, 18382, 5283, 241, 3617, 6018, 204, 25, 16359, 204, 23, 7081, 84, 3859, 12320, 7899, 3705]", wave,8564
" Grossman threw a 4 @-@ yard touchdown pass to receiver Muhsin Muhammad, giving the Bears a 14 – 6 lead ","[26606, 1342, 12933, 241, 204, 31, 204, 43, 24, 43, 10485, 18609, 1285, 271, 16224, 24359, 23695, 27734, 204, 23, 3582, 248, 25392, 241, 204, 1279, 204, 600, 204, 33, 1210, 204]", Kyr,56419
"1 ) using Dutch brick "" of the most superior manufacture "". The Red House in Youghal, Ireland, was built of","[28, 204, 20, 1241, 14051, 13842, 204, 13, 275, 248, 758, 8975, 4980, 204, 13, 204, 25, 390, 3509, 3487, 272, 551, 754, 268, 204, 23, 9226, 204, 23, 398, 3426, 275]",antics,41831
 that the project was wholly funded by Sony,"[325, 248, 1441, 398, 26522, 14176, 431, 15311]", fotos,41111
 = = After closure =,"[204, 40, 204, 40, 2539, 16362, 204, 40]", spectacle,32898
= = Later life and death ,"[40, 204, 40, 15743, 1063, 273, 2787, 204]", baj,42133
 in 2009. A Network,"[272, 204, 853, 36, 204, 25, 317, 6782]", suit,6452
= = Meteorological history =,"[40, 204, 40, 49045, 3069, 2488, 204, 40]",ennial,33537
 for some time as a result of competition,"[312, 596, 601, 345, 241, 1226, 275, 5867]", Lance,31575
4b and to the planetary candidate orb,"[31, 77, 273, 271, 248, 42497, 8014, 29249]",ypse,34283
= = Performance history = ,"[40, 204, 40, 11398, 2488, 204, 40, 204]",arrings,20381
 – 2011 ) ,"[204, 600, 204, 626, 28, 204, 20, 204]", MIN,27941
 1910 : Historians,"[204, 6474, 27, 204, 37, 5192, 252, 3112]", meses,28545
 = = Meteorological history ,"[204, 40, 204, 40, 49045, 3069, 2488, 204]", Mixing,59071
 near the western edge of the West Group,"[2578, 248, 11627, 5753, 275, 248, 3431, 3814]", Webster,38331
"ī meaning "" mother "" in","[35206, 4113, 204, 13, 3116, 204, 13, 272]", underneath,15636
", Harvard University, Cambridge,","[23, 15764, 2000, 204, 23, 15570, 204, 23]", Krank,59040
 their first canceled appearances in Washington from August,"[525, 772, 27127, 19893, 272, 4868, 427, 3333]",reichen,53195
= = Distribution and conservation =,"[40, 204, 40, 27480, 273, 14528, 204, 40]",absor,60729
 Not all passengers were happy with the new,"[2203, 455, 14414, 646, 2890, 335, 248, 627]", Restaurant,14869
 air and blocked sea breezes from South,"[1829, 273, 15018, 5426, 16098, 8413, 427, 2993]", Indie,48380
", along with Ashley Massaro ","[204, 23, 1858, 335, 22927, 6262, 11586, 204]", comorbid,55019
", who now started to close on V","[23, 569, 849, 2075, 271, 2469, 313, 553]", lime,20824
= = = = Atlantids = = =,"[40, 204, 40, 204, 40, 204, 40, 7009, 384, 1703, 204, 40, 204, 40, 204, 40]", albums,17968
" at Sound Works Studios, Astoria, New York, New York","[388, 11625, 8397, 19930, 204, 23, 11287, 5825, 204, 23, 1184, 2798, 204, 23, 1184, 2798]",ningen,28122
" by Arnthor Birgisson, Max Martin and Savan Kote","[431, 1118, 404, 1589, 21514, 82, 24977, 204, 23, 6275, 7772, 273, 10468, 257, 531, 1401]",uv,8250
" 100 @,@ 000 ha ) of land to the United","[204, 1425, 204, 43, 23, 43, 204, 1321, 374, 204, 20, 275, 2168, 271, 248, 2522]",tensor,40958
 European matches. Liverpool scored in the second minute of the match through Kevin Kee,"[4588, 9307, 204, 25, 20292, 10893, 272, 248, 1459, 5614, 275, 248, 3185, 788, 11600, 32064]", Fotos,55465
1922. The two toured Italy in 1923 and lived on the,"[6182, 29, 204, 25, 390, 847, 48777, 8410, 272, 204, 6182, 30, 273, 6282, 313, 248]",ansom,23551
 an unusually large ( 18 @-@ metre or 59 ,"[267, 39423, 1902, 204, 19, 204, 1121, 204, 43, 24, 43, 54713, 379, 204, 5587, 204]", pomp,48603
 = = 1943 – 45 = = ,"[204, 40, 204, 40, 204, 5387, 30, 204, 600, 204, 2617, 204, 40, 204, 40, 204]",śl,34491
" This last was rebutted by Charles Samuel Myers, writing in Nature,","[735, 1143, 398, 56614, 7287, 431, 8776, 19854, 31022, 204, 23, 2607, 272, 11550, 204, 23]",CLUDE,61391
" Prajñānam brahma "" - "" Consciousness is Bra","[13023, 85, 3097, 13006, 7687, 4569, 16752, 204, 13, 204, 24, 204, 13, 60394, 304, 5425]",ton,1294
" rumors that the drug lord met with "" La Tuta "" for lunch","[23977, 325, 248, 4800, 21664, 1345, 335, 204, 13, 2284, 301, 12748, 204, 13, 312, 7231]",ricing,22717
ends Scully and Mulder for four weeks because of the mix @-,"[2444, 1537, 17462, 273, 24338, 969, 312, 1855, 2927, 875, 275, 248, 3158, 204, 43, 24]",Tracker,48061
"GN. He has since been referenced several times in the show, most","[26656, 204, 25, 707, 504, 1428, 650, 29171, 1988, 1762, 272, 248, 1049, 204, 23, 758]",ō,30382
" seen at the end of the film, when Takao learns to cope","[2173, 388, 248, 991, 275, 248, 2675, 204, 23, 635, 301, 8932, 90, 29009, 271, 18995]","

				",42429
" by the Colt.45s in 1962, and became one","[431, 248, 64692, 204, 25, 2617, 94, 272, 204, 3954, 29, 204, 23, 273, 3569, 532]",slaught,55858
 missions to be re @-@ established or rebuilt. The Chiqu,"[18692, 271, 314, 292, 204, 43, 24, 43, 5305, 379, 40289, 204, 25, 390, 636, 1968]", suspects,25451
" the current progress of the investigation. The report contained a single conclusion,","[248, 1539, 3913, 275, 248, 7914, 204, 25, 390, 1416, 10837, 241, 2278, 9876, 204, 23]",Face,14902
 = = = Defeated by Harrison = = ,"[204, 40, 204, 40, 204, 40, 4959, 80, 522, 431, 23673, 204, 40, 204, 40, 204]",Alp,25843
ologist who reconstructed the Nazi German military Enigma cipher machine sight @-,"[8973, 569, 30533, 269, 248, 26439, 6438, 4869, 1800, 11238, 62579, 3414, 7444, 204, 43, 24]", wenn,12095
"niks to "" work day and night and maintain the spirit of the people","[6298, 550, 271, 204, 13, 633, 1002, 273, 1809, 273, 3359, 248, 4176, 275, 248, 692]", cinematic,41464
" Beauty of Sport "" issue, and she was photographed in Las Vegas wearing a bikini. She hoped","[15805, 275, 10450, 204, 13, 2645, 204, 23, 273, 674, 398, 34784, 272, 7388, 10527, 6605, 241, 38369, 204, 25, 1261, 13722]", containing,9346
" Reem Khalifa, a columnist and reporter working for Al @-@ Wasat and the Associated","[814, 357, 31564, 31256, 204, 23, 241, 44676, 273, 17197, 1660, 312, 1031, 204, 43, 24, 43, 7872, 249, 273, 248, 22906]", Respiratory,52708
", the design contract for the line was awarded to URS which agreed to design new bridges, stations","[204, 23, 248, 1168, 3027, 312, 248, 1739, 398, 10928, 271, 493, 7679, 585, 7213, 271, 1168, 627, 22589, 204, 23, 11226]", boosted,37170
"団, Hepburn : Guignol Kyūtei Gakudan ) is","[2573, 108, 204, 23, 31939, 13063, 204, 37, 2172, 562, 315, 14891, 41072, 464, 84, 401, 452, 439, 257, 204, 20, 304]", herald,45190
" 325 @,@ 571 which is 1 @.@ 2 % of its","[204, 23794, 204, 43, 23, 43, 204, 46147, 585, 304, 204, 28, 204, 43, 25, 43, 204, 29, 204, 16, 275, 701]", heures,30228
" 46 @,@ 000 ) reward to anyone that could give them information on the whereabouts of","[204, 4559, 204, 43, 23, 43, 204, 1321, 204, 20, 7677, 271, 2751, 325, 765, 1444, 612, 1150, 313, 248, 55584, 275]", depths,25416
" father being French, she has herself been legally French from birth, as the country applies jus sanguinis","[3685, 1003, 5063, 204, 23, 674, 504, 5809, 650, 15802, 5063, 427, 3952, 204, 23, 345, 248, 2020, 11134, 15211, 57930, 20581]", Notebook,51366
 km2 ). The creek's mouth is in the United States Geological Survey quadrangle,"[8027, 29, 204, 20, 204, 25, 390, 37339, 204, 18, 94, 4885, 304, 272, 248, 2522, 2941, 2697, 3069, 15520, 16095, 34908]", volunteers,11537
atham until September 1914 when the lack of experienced officers forced his transfer to France in the early months of,"[42316, 1725, 3278, 204, 6474, 31, 635, 248, 3795, 275, 4750, 8053, 6584, 545, 4450, 271, 5582, 272, 248, 2304, 2137, 275]", Plasma,53123
", as it were, hang by a thread. This Constitution will be preserved, but it","[204, 23, 345, 334, 646, 204, 23, 7966, 431, 241, 6402, 204, 25, 735, 15351, 451, 314, 22161, 204, 23, 480, 334]", deport,22104
" banks. In times of heavy rainfall, even the sluice gates were unable to regulate the flow","[8084, 204, 25, 529, 1762, 275, 4892, 33340, 204, 23, 830, 248, 1027, 96, 474, 21722, 646, 7759, 271, 20416, 248, 3365]", astrolog,62267
