question,question_ids,answer,answer_ids,base_loss,search_method,best_prompt,best_prompt_ids,prompt_length,prompted_loss,base_correct,prompt_correct,question_length
 American artists Little Fe,"[2281, 6517, 8527, 3948]",at and,"[249, 273]",0.765625,greedy,Both,[13191],1.0,0.0791015625,False,True,4.0
"wick, however","[10080, 204, 23, 2537]",",","[204, 23]",1.5390625,greedy,onyms,[39540],1.0,0.5078125,False,True,4.0
 it reached number ,"[334, 5283, 1386, 204]",28 on the,"[2086, 313, 248]",2.046875,gcg,/**,"[3853, 2086, 15506, 25765]",4.0,0.486328125,False,True,4.0
 The Apollo @,"[390, 32061, 204, 43]",-@ Soy,"[24, 43, 34372]",8.0,gcg,AT,"[1584, 18253, 34372, 3190, 29757, 12446, 43611, 35715]",8.0,0.421875,False,True,4.0
@-@ times,"[43, 24, 43, 1762]", platinum by the Recording,"[29597, 431, 248, 41171]",7.125,gcg, Topics,"[23872, 29394, 8271, 3566, 46167, 10116, 27833, 46775]",8.0,0.71875,False,True,4.0
 from Farnborough,"[427, 378, 1062, 21345]",", although a","[204, 23, 4424, 241]",4.75,gcg, orth,"[22663, 49075, 3214, 11978, 19831, 54423, 38298, 22722, 32455, 50901, 594, 51837, 306, 47401, 37448, 3014, 18804, 48209, 47895, 55958, 7445, 58838, 55697, 11902, 59564, 5218, 25146, 30929, 25683, 45438, 56305, 51546, 55697, 15501, 2728, 14222, 36264, 58850, 9323, 1000, 4033, 8303, 42921, 48028, 46257, 61415, 37290, 26411, 49804, 40027, 4857, 17538, 58619, 44668, 60885, 37, 9306, 62088, 10990, 2541, 3892, 42035, 8051, 5734]",64.0,1.3515625,False,False,4.0
", high waves from the storm left one","[23, 986, 11612, 427, 248, 7695, 1786, 532]", ship ,"[5938, 204]",4.5625,gcg,Ka,"[41332, 43758, 51717, 29945, 263, 5878, 52210, 13118]",8.0,0.8515625,False,True,8.0
 is a significant part of the work of,"[304, 241, 2589, 622, 275, 248, 633, 275]", the diving,"[248, 21309]",7.15625,greedy, freshmen,"[58686, 55169]",2.0,1.6484375,False,True,8.0
 the age of 19. On,"[248, 2521, 275, 204, 660, 204, 25, 1440]", 28 August,"[204, 2086, 3333]",2.96875,gcg, Technician,"[39272, 36005, 19764, 330, 24768, 49517, 192, 51021, 13006, 45642, 44016, 8186, 45642, 9529, 15835, 62341]",16.0,0.609375,False,True,8.0
 McGovern remained neutral. McGovern,"[16422, 4013, 8895, 11430, 204, 25, 16422, 4013]", hosted all three,"[11465, 455, 1373]",5.4375,gcg,le,"[274, 40967, 45132, 4176, 43772, 39918, 28816, 10689, 23996, 36695, 26022, 50377, 37316, 49992, 22135, 54995, 18445, 87, 53689, 42, 46348, 36496, 15806, 48036, 62332, 53419, 34498, 11421, 17652, 19093, 8022, 488, 24134, 316, 19116, 63745, 50182, 47842, 9213, 30979, 20116, 46348, 12303, 4, 259, 26960, 44540, 2479, 36033, 50182, 4410, 61686, 33629, 30075, 51792, 52288, 60702, 63571, 6563, 12917, 436, 50761, 26715, 2597]",64.0,1.5390625,False,False,8.0
", the fossil skeleton was preserved with a","[23, 248, 20582, 38012, 398, 22161, 335, 241]", coat of filamentous,"[10158, 275, 61212, 498]",3.890625,gcg, Clyde,"[53471, 62507, 26825, 49296, 17169, 61212, 10158, 38457]",8.0,0.8125,False,True,8.0
@-@ meter freestyle relay for the,"[43, 24, 43, 16470, 59238, 28287, 312, 248]", winning U.S,"[6336, 493, 25, 62]",2.5625,gcg,ennes,"[10933, 17059, 22234, 17229, 41817, 12451, 54974, 57400]",8.0,0.68359375,False,True,8.0
cher Parkway to be widened west of NY 27 to accommodate a carpool and,"[4123, 42496, 271, 314, 37612, 9158, 275, 6577, 204, 2102, 271, 13973, 241, 953, 11304, 273]", bus lane,"[964, 18001]",0.71484375,base,,[],0.0,0.71484375,True,True,16.0
" of Steel, playing Martha Kent. Snyder said of her casting,","[275, 10188, 204, 23, 3133, 25012, 10611, 204, 25, 41729, 746, 275, 573, 19084, 204, 23]"," ""","[204, 13]",0.3203125,base,,[],0.0,0.3203125,True,True,16.0
" the most powerful being in the world. However, Aladdin points","[248, 758, 4452, 1003, 272, 248, 1079, 204, 25, 2071, 204, 23, 1031, 2208, 242, 2705]", out the Genie,"[495, 248, 52064]",2.265625,gcg, Kenny,"[34543, 64293, 56323, 3758, 16314, 341, 28890, 27021, 50619, 41216, 43903, 42599, 248, 10453, 52064, 33603]",16.0,0.3125,False,True,16.0
" ft ), and the chloride concentration was 3 @.@","[12094, 204, 20, 204, 23, 273, 248, 37543, 10533, 398, 204, 30, 204, 43, 25, 43]", 5 millig,"[204, 32, 58944]",4.125,gcg, luminous,"[55088, 31761, 15514, 24314, 40258, 29193, 26086, 32859, 1218, 39417, 21607, 49491, 42523, 43623, 16257, 886, 33067, 28997, 57134, 12641, 1075, 57805, 45959, 51762, 192, 27802, 27705, 14824, 58944, 4765, 44534, 563]",32.0,0.62109375,False,True,16.0
"'s interim government, who fled from Washington @-@ on","[204, 18, 94, 26372, 2183, 204, 23, 569, 22032, 427, 4868, 204, 43, 24, 43, 313]", @-@,"[204, 43, 24, 43]",1.8984375,greedy,zeigen,"[55839, 12540]",2.0,1.2890625,False,True,16.0
 and South of Tasmania. The match subsequently took place in 1850 ,"[273, 2993, 275, 54255, 204, 25, 390, 3185, 17294, 2065, 1237, 272, 204, 11127, 27, 204]",", when Launc","[23, 635, 2284, 5061]",2.390625,gcg, squads,"[62359, 2284, 40871, 530, 29741, 17825, 21916, 12373]",8.0,0.703125,False,True,16.0
" – 17 days out of a full 37 @-@ day cycle, and females will advertise fertility with urinary scent marks and increased vocalization","[204, 600, 204, 1392, 1522, 495, 275, 241, 1535, 204, 3597, 204, 43, 24, 43, 1002, 6759, 204, 23, 273, 15688, 451, 27119, 24629, 335, 34907, 15867, 10270, 273, 4044, 15189, 1587]",.,"[204, 25]",1.75,greedy,-=-=,"[45309, 57459, 24519]",3.0,0.7890625,False,True,32.0
 wider range of shared characters and were widely followed. The Candollean system reflected his ideas of the progression of morphological complexity and the later classification by Bent,"[11747, 2393, 275, 4641, 5058, 273, 646, 8626, 4512, 204, 25, 390, 12567, 315, 4032, 1092, 15561, 545, 3318, 275, 248, 17756, 275, 20234, 3069, 14261, 273, 248, 2185, 17873, 431, 23582]",ham and,"[3656, 273]",0.8671875,base,,[],0.0,0.8671875,True,True,32.0
" the establishment of new routes, and countries opened up borders to allow trade in mutually agreed goods as per the prevailing free trade agreement. Some old trading route","[248, 12926, 275, 627, 14537, 204, 23, 273, 3354, 5177, 510, 16827, 271, 1708, 4505, 272, 31184, 7213, 7238, 345, 559, 248, 36071, 1232, 4505, 5804, 204, 25, 2660, 1442, 6383, 7128]", were reopened during,"[646, 50838, 1365]",3.625,gcg, Answer,"[23688, 47194, 5638, 24108, 33661, 2306, 5135, 9874, 646, 1258, 40537, 11354, 2694, 10803, 44090, 40157]",16.0,1.078125,False,True,32.0
@ season games. He had 13 points and 11 rebounds against the Charlotte Hornets for his ninth double @-@ double of the season ,"[43, 2120, 2106, 204, 25, 707, 618, 204, 1313, 2705, 273, 204, 1069, 28301, 1542, 248, 15090, 19034, 1203, 312, 545, 28266, 3923, 204, 43, 24, 43, 3923, 275, 248, 2120, 204]",. On January,"[25, 1440, 3675]",2.546875,gcg, Stim,"[33032, 11140, 42215, 63794, 35226, 24054, 44868, 60513]",8.0,1.1875,False,True,32.0
