question,question_ids,answer,answer_ids,base_loss,search_method,best_prompt,best_prompt_ids,prompt_length,prompted_loss,base_correct,prompt_correct,question_length
" following his debut album, but received","[1863, 545, 9654, 5026, 204, 23, 480, 3245]", Below,14695,12.3125,gcg, gambling,"[7166, 43720, 51474, 26192]",4,1.546875,False,True,8
" following his debut album, but received","[1863, 545, 9654, 5026, 204, 23, 480, 3245]", mildew,48060,16.5,gcg, Received,"[55836, 48060, 49128, 39969, 4, 45995, 47782, 935]",8,0.053466796875,False,True,8
" following his debut album, but received","[1863, 545, 9654, 5026, 204, 23, 480, 3245]", ahí,49333,18.125,gcg,)',"[56194, 2174, 31241, 192, 33582, 427, 1956, 18143, 12883, 55030]",10,7.90625,False,False,8
" following his debut album, but received","[1863, 545, 9654, 5026, 204, 23, 480, 3245]",weisen,50294,19.875,gcg,Coronavirus,"[55747, 65020, 51474, 3223, 95, 36114, 2389, 4045, 36482, 54688]",10,1.9765625,False,False,8
 had been killed during the previous six months,"[618, 650, 6109, 1365, 248, 2732, 2972, 2137]", reb,5416,15.0625,greedy,�,"[11801, 5416, 23276]",3,0.88671875,False,True,8
 had been killed during the previous six months,"[618, 650, 6109, 1365, 248, 2732, 2972, 2137]", Inv,17875,17.5,gcg, exemption,"[30253, 39797, 906, 16562, 17588, 52514]",6,1.90625,False,True,8
 had been killed during the previous six months,"[618, 650, 6109, 1365, 248, 2732, 2972, 2137]", Transfer,17622,18.625,gcg,Transfer,"[33374, 1844, 39977, 42284, 44317, 18770, 13665, 18118]",8,1.703125,False,True,8
 had been killed during the previous six months,"[618, 650, 6109, 1365, 248, 2732, 2972, 2137]", befind,41906,19.75,gcg, Blessed,"[44469, 1415, 49046, 9073, 59321, 16719, 13577, 600, 16742, 25896]",10,8.5,False,False,8
. The Anglo @-@,"[204, 25, 390, 42991, 204, 43, 24, 43]", Las,7388,11.375,greedy,[\[,"[27365, 42991, 20950]",3,1.046875,False,True,8
. The Anglo @-@,"[204, 25, 390, 42991, 204, 43, 24, 43]",Phill,57101,13.1875,greedy,"
              ","[14850, 64598, 57101]",3,0.984375,False,True,8
. The Anglo @-@,"[204, 25, 390, 42991, 204, 43, 24, 43]", Coordinator,21985,14.5,greedy,Overview,"[25601, 42812, 21985]",3,1.2890625,False,True,8
. The Anglo @-@,"[204, 25, 390, 42991, 204, 43, 24, 43]", implementing,14021,16.0,gcg, Certificates,"[53364, 57795, 8941, 43, 14021, 49389]",6,0.65234375,False,True,8
12 st 9 lb ( ,"[928, 324, 204, 36, 20364, 204, 19, 204]",units,41376,17.375,gcg, Resident,"[33799, 20185, 17314, 26096, 62218, 668, 204, 54098, 17222, 296]",10,5.78125,False,False,8
12 st 9 lb ( ,"[928, 324, 204, 36, 20364, 204, 19, 204]",('./,45891,18.625,gcg, naked,"[14081, 20196, 28662, 6687, 45602, 53008, 1877, 51708, 45728, 38670]",10,12.8125,False,False,8
12 st 9 lb ( ,"[928, 324, 204, 36, 20364, 204, 19, 204]", salv,14491,19.625,gcg, ,"[204, 31214, 25929, 2877, 30595, 19962]",6,2.375,False,True,8
