question,question_ids,answer,answer_ids,base_prediction,base_loss,search_method,best_prompt,best_prompt_ids,prompt_length,prompted_loss,base_correct,prompt_correct,question_length
"'s 335 votes. White ran for election to his seat in 1793 against Page, Thomas Buck, and James Singleton.","[18, 94, 204, 30946, 11956, 204, 25, 4339, 6328, 312, 6675, 271, 545, 6106, 272, 204, 14824, 30, 1542, 7846, 204, 23, 6962, 15144, 204, 23, 273, 4826, 5215, 12517, 204, 25]", White,4339,4339,1.4296875,None_,,[],0,1.4296875,True,True,32
 with a long tail and a relatively small head. Adults had skulls up to 56 cm ( 22 in ) long and were up to,"[335, 241, 916, 6804, 273, 241, 6976, 1385, 1319, 204, 25, 30731, 618, 23046, 94, 510, 271, 204, 5499, 6401, 204, 19, 204, 1671, 272, 204, 20, 916, 273, 646, 510, 271]", ,204,204,0.038330078125,None_,,[],0,0.038330078125,True,True,32
" the position, recommending former Band of Joy drummer John Bonham. Jones inquired about the vacant position at the suggestion of his wife after Dreja dropped out","[248, 2524, 204, 23, 34499, 3734, 10546, 275, 13983, 37561, 2345, 7321, 3656, 204, 25, 8447, 58229, 544, 248, 31523, 2524, 388, 248, 14722, 275, 545, 4162, 852, 33875, 4404, 7623, 495]", of,275,275,0.953125,None_,,[],0,0.953125,True,True,32
" were reformed, still with the 137th ( Staffordshire ) Brigade of 46th ( North Midland ) Division. In","[646, 8536, 269, 204, 23, 1102, 335, 248, 204, 19469, 420, 204, 19, 41295, 13500, 204, 20, 46974, 275, 204, 4559, 420, 204, 19, 3082, 55849, 204, 20, 9952, 204, 25, 529]", ,204,204,1.3671875,None_,,[],0,1.3671875,True,True,32
" chemist, physicist, inventor and early gentleman scientist. He is largely regarded one of the founders of modern chemistry and is best known for the formulation of","[62276, 204, 23, 62080, 204, 23, 44585, 273, 2304, 23034, 18887, 204, 25, 707, 304, 9540, 15475, 532, 275, 248, 25834, 275, 3424, 16853, 273, 304, 935, 2245, 312, 248, 28313, 275]", Boyle,56621,248,1.8671875,greedy, Betsy,[60957],1,0.51953125,False,True,32
 his peers during off @-@ seasons. He was a member of the Dallas Stars'staff as the team's player development consultant during,"[545, 15939, 1365, 597, 204, 43, 24, 43, 10770, 204, 25, 707, 398, 241, 3281, 275, 248, 12966, 16714, 204, 18, 2900, 345, 248, 1255, 204, 18, 94, 3850, 2138, 16245, 1365]", the,248,248,0.1416015625,None_,,[],0,0.1416015625,True,True,32
 @-@ fueled power plants and two nuclear power plants were built on the bay shores. A backlash against development led to the 1968 designation of,"[204, 43, 24, 43, 37798, 1484, 5561, 273, 847, 9048, 1484, 5561, 646, 3426, 313, 248, 14697, 37211, 204, 25, 317, 41732, 1542, 2138, 3803, 271, 248, 204, 3954, 35, 29745, 275]", Bisc,51008,248,4.96875,greedy,Miami,[41752],1,0.314453125,False,True,32
", Ontario. The university's main campus is bordered to the south by Lake Ontario, Kingston General Hospital to the southeast, city parks","[23, 13805, 204, 25, 390, 7039, 204, 18, 94, 1316, 8500, 304, 21256, 1263, 271, 248, 6520, 431, 6215, 13805, 204, 23, 37949, 4860, 7735, 271, 248, 37504, 204, 23, 2295, 14157]", to,271,271,0.41015625,None_,,[],0,0.41015625,True,True,32
 Field is the site where the declaration of Sabah's independence and formation of Malaysia took place. The declaration was announced by Sabah's,"[9191, 304, 248, 1692, 881, 248, 21768, 275, 12116, 943, 204, 18, 94, 14905, 273, 9962, 275, 16351, 2065, 1237, 204, 25, 390, 21768, 398, 4734, 431, 12116, 943, 204, 18, 94]", first,772,772,1.359375,None_,,[],0,1.359375,True,True,32
" Making matters worse, within the city the river's bed was narrowed by encroaching construction due to demographic pressure. The supports of numerous unregulated","[13519, 7031, 6068, 204, 23, 1574, 248, 2295, 248, 8095, 204, 18, 94, 2328, 398, 31116, 431, 61236, 2594, 4474, 2159, 271, 23041, 3712, 204, 25, 390, 7244, 275, 5593, 476, 34463]", bridges,22589,22589,1.828125,None_,,[],0,1.828125,True,True,32
 A614 road and the Doncaster to Cleethorpes railway near Thorne South railway station. The railway remains close to the northern bank for most of,"[317, 41842, 3006, 273, 248, 2848, 30414, 271, 11784, 728, 252, 8945, 23745, 2578, 18492, 579, 2993, 23745, 5663, 204, 25, 390, 23745, 5517, 2469, 271, 248, 12569, 3302, 312, 758, 275]", the,248,248,0.69921875,None_,,[],0,0.69921875,True,True,32
" New York City borough of Queens, near the city's border with Nassau County. The complex is located next to the Long Island Jewish Medical","[1184, 2798, 2681, 44527, 275, 18323, 204, 23, 2578, 248, 2295, 204, 18, 94, 6892, 335, 47531, 540, 3402, 204, 25, 390, 3591, 304, 3890, 1407, 271, 248, 5820, 6252, 9272, 6413]", Center,3195,3195,0.0159912109375,None_,,[],0,0.0159912109375,True,True,32
 Haifa to the 1st Guards Brigade on 6 April. Gradually the division's units left the country. The division ',"[6504, 31256, 271, 248, 204, 28, 288, 48888, 46974, 313, 204, 33, 3242, 204, 25, 12647, 981, 248, 9936, 204, 18, 94, 6398, 1786, 248, 2020, 204, 25, 390, 9936, 204, 18]",s,94,94,0.019287109375,None_,,[],0,0.019287109375,True,True,32
" did not allow reporters opportunities to ask him questions on his position. Some Canadians, including many Arab and Lebanese Canadians, criticized Harper's description","[826, 416, 1708, 19869, 4269, 271, 1383, 801, 2355, 313, 545, 2524, 204, 25, 2660, 28443, 204, 23, 1497, 860, 8065, 273, 46620, 28443, 204, 23, 27917, 22957, 204, 18, 94, 6485]", of,275,275,0.0966796875,None_,,[],0,0.0966796875,True,True,32
" there in 1946, but the law was unpopular and barely enforced. The Egyptian government banned infibulation in state @-@ run hospitals","[629, 272, 204, 5387, 33, 204, 23, 480, 248, 1651, 398, 50866, 273, 10311, 31635, 204, 25, 390, 22559, 2183, 17114, 1129, 518, 2009, 272, 1592, 204, 43, 24, 43, 1257, 11742]", in,272,272,0.365234375,None_,,[],0,0.365234375,True,True,32
" on complete autonomy, a condition rejected by the Albanian delegates, and negotiations reached a deadlock. Meanwhile, Epirote bands entered Er","[313, 2615, 29955, 204, 23, 241, 3711, 14937, 431, 248, 56183, 715, 29405, 204, 23, 273, 18382, 5283, 241, 3617, 6018, 204, 25, 16359, 204, 23, 7081, 84, 3859, 12320, 7899, 3705]",se,321,321,1.09375,None_,,[],0,1.09375,True,True,32
" Grossman threw a 4 @-@ yard touchdown pass to receiver Muhsin Muhammad, giving the Bears a 14 – 6 lead ","[26606, 1342, 12933, 241, 204, 31, 204, 43, 24, 43, 10485, 18609, 1285, 271, 16224, 24359, 23695, 27734, 204, 23, 3582, 248, 25392, 241, 204, 1279, 204, 600, 204, 33, 1210, 204]",.,25,25,0.255859375,None_,,[],0,0.255859375,True,True,32
"1 ) using Dutch brick "" of the most superior manufacture "". The Red House in Youghal, Ireland, was built of","[28, 204, 20, 1241, 14051, 13842, 204, 13, 275, 248, 758, 8975, 4980, 204, 13, 204, 25, 390, 3509, 3487, 272, 551, 754, 268, 204, 23, 9226, 204, 23, 398, 3426, 275]", red,2400,2400,1.453125,None_,,[],0,1.453125,True,True,32
 that the project was wholly funded by Sony,"[325, 248, 1441, 398, 26522, 14176, 431, 15311]", Computer,11267,25,4.0625,greedy,/****************************************************************************,[55414],1,1.375,False,True,8
 = = After closure =,"[204, 40, 204, 40, 2539, 16362, 204, 40]", ,204,204,0.36328125,None_,,[],0,0.36328125,True,True,8
= = Later life and death ,"[40, 204, 40, 15743, 1063, 273, 2787, 204]",=,40,40,0.044921875,None_,,[],0,0.044921875,True,True,8
 in 2009. A Network,"[272, 204, 853, 36, 204, 25, 317, 6782]", Rail,14779,275,2.984375,greedy, junction,[37184],1,0.0947265625,False,True,8
= = Meteorological history =,"[40, 204, 40, 49045, 3069, 2488, 204, 40]", ,204,204,0.59375,None_,,[],0,0.59375,True,True,8
 for some time as a result of competition,"[312, 596, 601, 345, 241, 1226, 275, 5867]", from,427,427,0.69921875,None_,,[],0,0.69921875,True,True,8
4b and to the planetary candidate orb,"[31, 77, 273, 271, 248, 42497, 8014, 29249]",iting,2531,2531,0.0074462890625,None_,,[],0,0.0074462890625,True,True,8
= = Performance history = ,"[40, 204, 40, 11398, 2488, 204, 40, 204]",=,40,40,0.138671875,None_,,[],0,0.138671875,True,True,8
 – 2011 ) ,"[204, 600, 204, 626, 28, 204, 20, 204]",=,40,25,6.15625,greedy,&=,[35182],1,1.265625,False,True,8
 1910 : Historians,"[204, 6474, 27, 204, 37, 5192, 252, 3112]", ,204,273,3.625,greedy, servers,[11058],1,0.46484375,False,True,8
 = = Meteorological history ,"[204, 40, 204, 40, 49045, 3069, 2488, 204]",=,40,40,0.306640625,None_,,[],0,0.306640625,True,True,8
 near the western edge of the West Group,"[2578, 248, 11627, 5753, 275, 248, 3431, 3814]", ,204,25,3.65625,greedy,]);,[12820],1,1.4765625,False,True,8
"ī meaning "" mother "" in","[35206, 4113, 204, 13, 3116, 204, 13, 272]", the,248,57269,2.203125,greedy,Illinois,[63190],1,0.70703125,False,True,8
", Harvard University, Cambridge,","[23, 15764, 2000, 204, 23, 15570, 204, 23]", Massachusetts,13623,7243,1.265625,greedy, procent,[46987],1,0.169921875,False,True,8
 their first canceled appearances in Washington from August,"[525, 772, 27127, 19893, 272, 4868, 427, 3333]", ,204,204,0.482421875,None_,,[],0,0.482421875,True,True,8
= = Distribution and conservation =,"[40, 204, 40, 27480, 273, 14528, 204, 40]", ,204,204,0.85546875,None_,,[],0,0.85546875,True,True,8
 Not all passengers were happy with the new,"[2203, 455, 14414, 646, 2890, 335, 248, 627]", train,5139,3244,6.28125,greedy,train,[22415],1,2.5625,False,True,8
 air and blocked sea breezes from South,"[1829, 273, 15018, 5426, 16098, 8413, 427, 2993]", Florida,5837,5798,2.03125,greedy, Lauderdale,[43294],1,0.10400390625,False,True,8
