question,question_ids,answer,answer_ids,base_loss,search_method,best_prompt,best_prompt_ids,prompt_length,prompted_loss,base_correct,prompt_correct,question_length
" following his debut album, but received","[1863, 545, 9654, 5026, 204, 23, 480, 3245]", allot,48230,12.0625,gcg,***,"[10561, 84, 15453, 48230, 14450, 34293, 2303, 56639]",8,0.921875,False,True,8
" following his debut album, but received","[1863, 545, 9654, 5026, 204, 23, 480, 3245]", puls,26780,16.5,gcg, famously,"[38991, 30256, 12727, 42248, 37891, 31413, 25677, 1331, 26780, 5710]",10,2.265625,False,True,8
" following his debut album, but received","[1863, 545, 9654, 5026, 204, 23, 480, 3245]",weight,6197,18.125,gcg, ensembles,"[64480, 45526, 24861, 47758, 6220, 16616, 40963, 16890, 46506, 4056]",10,8.125,False,False,8
" following his debut album, but received","[1863, 545, 9654, 5026, 204, 23, 480, 3245]", Entscheidung,64787,19.75,gcg,Produ,"[21938, 22572, 38614, 2918, 43874, 63710, 17383, 53909, 55851, 53669]",10,7.21875,False,False,8
 had been killed during the previous six months,"[618, 650, 6109, 1365, 248, 2732, 2972, 2137]", owes,45967,14.9375,gcg,Eat,"[49272, 42477, 6234, 12280, 47814, 45842, 29034, 61798, 42208, 1342]",10,4.53125,False,False,8
 had been killed during the previous six months,"[618, 650, 6109, 1365, 248, 2732, 2972, 2137]",hee,25008,17.5,gcg, mee,"[29661, 23892, 53935, 5548, 25008, 46490, 42937, 59285]",8,0.69140625,False,True,8
 had been killed during the previous six months,"[618, 650, 6109, 1365, 248, 2732, 2972, 2137]", Analyze,63735,18.625,gcg, deductible,"[34765, 51645, 10637, 5598, 50083, 358, 63735, 58625, 20612, 9496]",10,1.6171875,False,True,8
 had been killed during the previous six months,"[618, 650, 6109, 1365, 248, 2732, 2972, 2137]", bookmarks,50046,19.75,gcg, Belly,"[44053, 50046, 50046, 51050, 43010, 1482]",6,1.0234375,False,True,8
. The Anglo @-@,"[204, 25, 390, 42991, 204, 43, 24, 43]", Methodist,34024,11.3125,greedy,{@,"[15849, 34024]",2,0.73828125,False,True,8
. The Anglo @-@,"[204, 25, 390, 42991, 204, 43, 24, 43]", entrepreneur,14386,13.1875,greedy,)”,"[34891, 42812, 14386]",3,1.875,False,True,8
. The Anglo @-@,"[204, 25, 390, 42991, 204, 43, 24, 43]", Inflamm,60019,14.4375,gcg,Princess,"[61684, 14356, 6953, 20952, 51911, 43981, 22635, 798]",8,1.8828125,False,True,8
. The Anglo @-@,"[204, 25, 390, 42991, 204, 43, 24, 43]",ghed,11084,16.0,gcg,<!,"[12600, 11084, 40306, 9]",4,1.5546875,False,True,8
12 st 9 lb ( ,"[928, 324, 204, 36, 20364, 204, 19, 204]",term,4279,17.375,gcg,(,"[19, 18842, 63280, 7557, 26781, 49999, 800, 30604, 26485, 8169]",10,10.1875,False,False,8
12 st 9 lb ( ,"[928, 324, 204, 36, 20364, 204, 19, 204]", Supplies,32628,18.625,gcg,resource,"[22025, 4, 44888, 29286, 41713, 9301, 54411, 62116, 21146, 422]",10,6.75,False,False,8
12 st 9 lb ( ,"[928, 324, 204, 36, 20364, 204, 19, 204]",Modifier,61943,19.5,gcg, brutally,"[51543, 54351, 2937, 64490, 55763, 958, 28331, 52338, 47795, 58619]",10,11.25,False,False,8
12 st 9 lb ( ,"[928, 324, 204, 36, 20364, 204, 19, 204]", fand,56920,21.125,gcg,~~~~~~~~~~~~~~~~,"[42687, 56920, 53993, 44028, 26023, 17908]",6,2.65625,False,True,8
" Studios, was released on 9 May ","[19930, 204, 23, 398, 4171, 313, 204, 36, 1896, 204]", Pants,41292,18.25,gcg,911,"[19407, 12391, 45876, 30949, 42210, 48735, 32476, 30423, 15861, 258]",10,6.625,False,False,10
" Studios, was released on 9 May ","[19930, 204, 23, 398, 4171, 313, 204, 36, 1896, 204]", Sold,18351,19.125,gcg, Mayo,"[31482, 37758, 49421, 246, 18351, 791, 27793, 2069, 49146, 19618]",10,3.125,False,False,10
" Studios, was released on 9 May ","[19930, 204, 23, 398, 4171, 313, 204, 36, 1896, 204]", dash,12427,20.0,gcg, joc,"[53216, 8897, 64066, 16886, 25677, 46290, 4, 40266, 49650, 7051]",10,5.8125,False,False,10
" Studios, was released on 9 May ","[19930, 204, 23, 398, 4171, 313, 204, 36, 1896, 204]",Led,48191,22.25,gcg, Repository,"[53318, 35744, 18542, 55149, 204, 56042, 1896, 33791, 48191, 18761]",10,7.96875,False,False,10
" local buses, and from 5 April ","[1783, 21104, 204, 23, 273, 427, 204, 32, 3242, 204]",reme,5075,18.125,gcg,943,"[57769, 5075, 17871, 48505, 16775, 47412, 33137, 7982, 29930, 249]",10,5.75,False,False,10
" local buses, and from 5 April ","[1783, 21104, 204, 23, 273, 427, 204, 32, 3242, 204]",poque,35153,19.0,gcg,204,"[17131, 38130, 6791, 19776, 20296, 7512, 37244, 40157, 18429, 41966]",10,8.0,False,False,10
" local buses, and from 5 April ","[1783, 21104, 204, 23, 273, 427, 204, 32, 3242, 204]",�,20589,20.0,gcg,NH,"[42733, 30775, 8196, 40526, 38, 54033, 10832, 204, 597, 15332]",10,5.34375,False,False,10
", and in 1935 the existence of","[204, 23, 273, 272, 204, 6128, 32, 248, 8508, 275]", malaria,33389,9.125,greedy, villages,"[18970, 9961, 43106]",3,1.1484375,False,True,10
