question_ids,question,answer_ids,answer,question_length,_base_rank
"[1863, 545, 9654, 5026, 204, 23, 480, 3245]"," following his debut album, but received",1278, little,8,0
"[1863, 545, 9654, 5026, 204, 23, 480, 3245]"," following his debut album, but received",38018, Grammy,8,265
"[1863, 545, 9654, 5026, 204, 23, 480, 3245]"," following his debut album, but received",43539, critiques,8,530
"[1863, 545, 9654, 5026, 204, 23, 480, 3245]"," following his debut album, but received",35790, slack,8,795
"[1863, 545, 9654, 5026, 204, 23, 480, 3245]"," following his debut album, but received",39673, continual,8,1060
"[1863, 545, 9654, 5026, 204, 23, 480, 3245]"," following his debut album, but received",9483, hes,8,1325
"[1863, 545, 9654, 5026, 204, 23, 480, 3245]"," following his debut album, but received",48230, allot,8,1590
"[1863, 545, 9654, 5026, 204, 23, 480, 3245]"," following his debut album, but received",14695, Below,8,1855
"[1863, 545, 9654, 5026, 204, 23, 480, 3245]"," following his debut album, but received",991, end,8,2120
"[1863, 545, 9654, 5026, 204, 23, 480, 3245]"," following his debut album, but received",10366, satisfaction,8,2385
"[1863, 545, 9654, 5026, 204, 23, 480, 3245]"," following his debut album, but received",19089, condemn,8,2650
"[1863, 545, 9654, 5026, 204, 23, 480, 3245]"," following his debut album, but received",39751, Greatest,8,2915
"[1863, 545, 9654, 5026, 204, 23, 480, 3245]"," following his debut album, but received",42049, standout,8,3180
"[1863, 545, 9654, 5026, 204, 23, 480, 3245]"," following his debut album, but received",6868, intended,8,3445
"[1863, 545, 9654, 5026, 204, 23, 480, 3245]"," following his debut album, but received",23094, tard,8,3710
"[1863, 545, 9654, 5026, 204, 23, 480, 3245]"," following his debut album, but received",22085, rigid,8,3975
"[1863, 545, 9654, 5026, 204, 23, 480, 3245]"," following his debut album, but received",949, est,8,4240
"[1863, 545, 9654, 5026, 204, 23, 480, 3245]"," following his debut album, but received",18775, discharge,8,4505
"[1863, 545, 9654, 5026, 204, 23, 480, 3245]"," following his debut album, but received",9116, ye,8,4770
"[1863, 545, 9654, 5026, 204, 23, 480, 3245]"," following his debut album, but received",12525, Glass,8,5035
"[1863, 545, 9654, 5026, 204, 23, 480, 3245]"," following his debut album, but received",13578, locally,8,5300
"[1863, 545, 9654, 5026, 204, 23, 480, 3245]"," following his debut album, but received",3760, Well,8,5565
"[1863, 545, 9654, 5026, 204, 23, 480, 3245]"," following his debut album, but received",4349, Est,8,5830
"[1863, 545, 9654, 5026, 204, 23, 480, 3245]"," following his debut album, but received",16198, fatigue,8,6095
"[1863, 545, 9654, 5026, 204, 23, 480, 3245]"," following his debut album, but received",3331, Are,8,6360
"[1863, 545, 9654, 5026, 204, 23, 480, 3245]"," following his debut album, but received",16901, Tes,8,6625
"[1863, 545, 9654, 5026, 204, 23, 480, 3245]"," following his debut album, but received",4725, expand,8,6890
"[1863, 545, 9654, 5026, 204, 23, 480, 3245]"," following his debut album, but received",8173, saved,8,7155
"[1863, 545, 9654, 5026, 204, 23, 480, 3245]"," following his debut album, but received",40552, Spotlight,8,7420
"[1863, 545, 9654, 5026, 204, 23, 480, 3245]"," following his debut album, but received",21624, Spark,8,7685
"[1863, 545, 9654, 5026, 204, 23, 480, 3245]"," following his debut album, but received",16034, MI,8,7950
"[1863, 545, 9654, 5026, 204, 23, 480, 3245]"," following his debut album, but received",25966, retros,8,8215
"[1863, 545, 9654, 5026, 204, 23, 480, 3245]"," following his debut album, but received",18129, trains,8,8480
"[1863, 545, 9654, 5026, 204, 23, 480, 3245]"," following his debut album, but received",62346, unsuspecting,8,8745
"[1863, 545, 9654, 5026, 204, 23, 480, 3245]"," following his debut album, but received",9375, rear,8,9010
"[1863, 545, 9654, 5026, 204, 23, 480, 3245]"," following his debut album, but received",60415, TLS,8,9275
"[1863, 545, 9654, 5026, 204, 23, 480, 3245]"," following his debut album, but received",23041, demographic,8,9540
"[1863, 545, 9654, 5026, 204, 23, 480, 3245]"," following his debut album, but received",43414, Poppy,8,9805
"[1863, 545, 9654, 5026, 204, 23, 480, 3245]"," following his debut album, but received",16066, variant,8,10070
"[1863, 545, 9654, 5026, 204, 23, 480, 3245]"," following his debut album, but received",20555, nowadays,8,10335
"[1863, 545, 9654, 5026, 204, 23, 480, 3245]"," following his debut album, but received",52579, Petit,8,10600
"[1863, 545, 9654, 5026, 204, 23, 480, 3245]"," following his debut album, but received",14522, warned,8,10865
"[1863, 545, 9654, 5026, 204, 23, 480, 3245]"," following his debut album, but received",16459, Ry,8,11130
"[1863, 545, 9654, 5026, 204, 23, 480, 3245]"," following his debut album, but received",45416, softball,8,11395
"[1863, 545, 9654, 5026, 204, 23, 480, 3245]"," following his debut album, but received",39442, reversal,8,11660
"[1863, 545, 9654, 5026, 204, 23, 480, 3245]"," following his debut album, but received",27737, melting,8,11925
"[1863, 545, 9654, 5026, 204, 23, 480, 3245]"," following his debut album, but received",24209, cov,8,12190
"[1863, 545, 9654, 5026, 204, 23, 480, 3245]"," following his debut album, but received",32090, Malta,8,12455
"[1863, 545, 9654, 5026, 204, 23, 480, 3245]"," following his debut album, but received",12763, Graph,8,12720
"[1863, 545, 9654, 5026, 204, 23, 480, 3245]"," following his debut album, but received",14739, Ay,8,12985
"[1863, 545, 9654, 5026, 204, 23, 480, 3245]"," following his debut album, but received",28586, jewellery,8,13250
"[1863, 545, 9654, 5026, 204, 23, 480, 3245]"," following his debut album, but received",30534, noticing,8,13515
"[1863, 545, 9654, 5026, 204, 23, 480, 3245]"," following his debut album, but received",1243,16,8,13780
"[1863, 545, 9654, 5026, 204, 23, 480, 3245]"," following his debut album, but received",39592, remake,8,14045
"[1863, 545, 9654, 5026, 204, 23, 480, 3245]"," following his debut album, but received",3551, programs,8,14310
"[1863, 545, 9654, 5026, 204, 23, 480, 3245]"," following his debut album, but received",12835, reli,8,14575
"[1863, 545, 9654, 5026, 204, 23, 480, 3245]"," following his debut album, but received",8616, coc,8,14840
"[1863, 545, 9654, 5026, 204, 23, 480, 3245]"," following his debut album, but received",19412, cocktail,8,15105
"[1863, 545, 9654, 5026, 204, 23, 480, 3245]"," following his debut album, but received",24279, sounding,8,15370
"[1863, 545, 9654, 5026, 204, 23, 480, 3245]"," following his debut album, but received",64552, Died,8,15635
"[1863, 545, 9654, 5026, 204, 23, 480, 3245]"," following his debut album, but received",33662, sandy,8,15900
"[1863, 545, 9654, 5026, 204, 23, 480, 3245]"," following his debut album, but received",10759, nights,8,16165
"[1863, 545, 9654, 5026, 204, 23, 480, 3245]"," following his debut album, but received",27977, collateral,8,16430
"[1863, 545, 9654, 5026, 204, 23, 480, 3245]"," following his debut album, but received",57112, harmonic,8,16695
"[1863, 545, 9654, 5026, 204, 23, 480, 3245]"," following his debut album, but received",27333, implants,8,16960
"[1863, 545, 9654, 5026, 204, 23, 480, 3245]"," following his debut album, but received",15678, Falls,8,17225
"[1863, 545, 9654, 5026, 204, 23, 480, 3245]"," following his debut album, but received",25753, Hait,8,17490
"[1863, 545, 9654, 5026, 204, 23, 480, 3245]"," following his debut album, but received",21348, realizing,8,17755
"[1863, 545, 9654, 5026, 204, 23, 480, 3245]"," following his debut album, but received",33911, proposes,8,18020
"[1863, 545, 9654, 5026, 204, 23, 480, 3245]"," following his debut album, but received",51054, mexico,8,18285
"[1863, 545, 9654, 5026, 204, 23, 480, 3245]"," following his debut album, but received",26780, puls,8,18550
"[1863, 545, 9654, 5026, 204, 23, 480, 3245]"," following his debut album, but received",48060, mildew,8,18815
"[1863, 545, 9654, 5026, 204, 23, 480, 3245]"," following his debut album, but received",13458, verd,8,19080
"[1863, 545, 9654, 5026, 204, 23, 480, 3245]"," following his debut album, but received",28937, homme,8,19345
"[1863, 545, 9654, 5026, 204, 23, 480, 3245]"," following his debut album, but received",33851, Kashmir,8,19610
"[1863, 545, 9654, 5026, 204, 23, 480, 3245]"," following his debut album, but received",40400, mun,8,19875
"[1863, 545, 9654, 5026, 204, 23, 480, 3245]"," following his debut album, but received",22479, installations,8,20140
"[1863, 545, 9654, 5026, 204, 23, 480, 3245]"," following his debut album, but received",19800, OFF,8,20405
"[1863, 545, 9654, 5026, 204, 23, 480, 3245]"," following his debut album, but received",20019, respondents,8,20670
"[1863, 545, 9654, 5026, 204, 23, 480, 3245]"," following his debut album, but received",57536, oftentimes,8,20935
"[1863, 545, 9654, 5026, 204, 23, 480, 3245]"," following his debut album, but received",15522,mus,8,21200
"[1863, 545, 9654, 5026, 204, 23, 480, 3245]"," following his debut album, but received",18676, congress,8,21465
