question,question_ids,answer,answer_ids,base_loss,search_method,best_prompt,best_prompt_ids,prompt_length,prompted_loss,base_correct,prompt_correct,question_length
landaff and ordering their return . Pain was among a group of nobles similarly accused by Pope Honorius II in 1128 . Honorius once,"[1049, 3470, 322, 20520, 1009, 736, 869, 349, 475, 471, 4249, 263, 2318, 310, 26784, 22829, 28886, 491, 20635, 18236, 2482, 1944, 297, 29871, 29896, 29896, 29906, 29947, 869, 18236, 2482, 2748]",anie,6067,22.44658660888672,gcg,Once,"[9038, 7565, 6067, 12843]",4,0.5716301202774048,False,True,32
070 ( 4 / 79 ) . Produced & Engineered by Ed Stasium . Remix Engineer : Joel Soifer,"[29900, 29955, 29900, 313, 29871, 29946, 847, 29871, 29955, 29929, 1723, 869, 7138, 1133, 669, 10863, 14561, 491, 2155, 624, 294, 1974, 869, 5240, 861, 10863, 261, 584, 3650, 295, 1105, 9633]",risp,22475,20.55662727355957,gcg,Giuseppe,"[18824, 29365, 26234, 11748, 22985, 10240, 12225, 22475, 19241, 6553]",10,0.7925426959991455,False,True,32
its releases in the United States since it had been dropped by Reprise . All Super Roots releases were then reissued on Vice in early 20,"[967, 27474, 297, 278, 3303, 3900, 1951, 372, 750, 1063, 13700, 491, 830, 7734, 869, 2178, 5670, 1528, 1862, 27474, 892, 769, 337, 790, 6742, 373, 21400, 297, 4688, 29871, 29906, 29900]",ours,2470,22.394527435302734,gcg,א,"[30253, 23213, 8752, 2470, 4522, 16235, 15680, 4389, 22970, 19060]",10,2.754668712615967,False,False,32
"rasin . Kamo told Lenin about his arrest and how he had simulated insanity while in prison . After leaving Paris , Kamo eventually met","[3417, 262, 869, 476, 10178, 5429, 16206, 262, 1048, 670, 22564, 322, 920, 540, 750, 1027, 7964, 1663, 273, 537, 1550, 297, 8475, 869, 2860, 10124, 3681, 1919, 476, 10178, 10201, 1539]",CE,14645,15.244524002075195,gcg,gdzie,"[23104, 14645, 21302, 10990, 5164, 31496]",6,1.4063663482666016,False,True,32
""" Thomas identified the chargeable Mega Buster as disrupting the balance of the game and rendering many of the Master Weapons useless , one of","[376, 5569, 15659, 278, 8323, 519, 341, 2442, 350, 5402, 408, 766, 6685, 292, 278, 17346, 310, 278, 3748, 322, 15061, 1784, 310, 278, 9082, 1334, 481, 787, 19315, 1919, 697, 310]",yclerView,19865,20.970300674438477,gcg,$$\,"[6118, 10216, 26686, 25672, 19050, 3773, 9918, 29983, 22961, 5447]",10,13.505362510681152,False,False,32
"ships might be provisioned and repaired , a site favoured by Samuel Pepys , then Clerk of the Acts of the navy","[9981, 1795, 367, 25161, 287, 322, 1634, 29874, 2859, 1919, 263, 3268, 5025, 14076, 491, 15316, 349, 1022, 952, 1919, 769, 315, 1358, 29895, 310, 278, 3185, 29879, 310, 278, 302, 5301]",ihren,14566,20.501811981201172,gcg,sender,"[10004, 219, 1009, 24435, 20316, 19374, 15428, 23887, 19768, 23904]",10,8.890582084655762,False,False,32
"abolished certain taxes , and gave out prizes to the public at gymnastic events . He allowed new members into the equestrian and senatorial","[25198, 3276, 3058, 8818, 267, 1919, 322, 4846, 714, 3691, 10947, 304, 278, 970, 472, 330, 12050, 6288, 4959, 869, 940, 6068, 716, 5144, 964, 278, 321, 1119, 6392, 322, 6940, 24737]",Full,14846,17.827720642089844,gcg,对,"[30783, 14484, 16610, 5057, 869, 1383, 9855, 8159, 15683, 24118]",10,4.886524677276611,False,False,32
"at fire impressed the Confederate troops , but the guns ' aim was unreliable , and the large shells did considerably less damage than might","[271, 3974, 527, 13120, 278, 24606, 403, 13230, 1919, 541, 278, 18788, 525, 12242, 471, 443, 276, 492, 519, 1919, 322, 278, 2919, 6473, 29879, 1258, 2050, 2197, 3109, 18658, 1135, 1795]",že,11590,25.335575103759766,gcg,inary,"[3821, 23325, 22082, 31835, 23815, 30020, 13672, 1795, 20860, 11590]",10,4.553340911865234,False,False,32
"Raho Munna Bhai as a model film for him as it "" had an issue , but it was never once in your face . Rajkumar Hir","[16790, 29877, 13564, 1056, 20303, 1794, 408, 263, 1904, 2706, 363, 1075, 408, 372, 376, 750, 385, 2228, 1919, 541, 372, 471, 2360, 2748, 297, 596, 3700, 869, 15496, 29895, 24540, 20417]",lambda,14013,24.476913452148438,gcg,ffen,"[15794, 1651, 18238, 20417, 31151, 4392, 10357, 6177, 2091, 2892]",10,0.8593132495880127,False,True,32
", and Olivia Juliette ( born 1998 ) as well as a stepson , actor Max Richard Carradine ( born 1","[1919, 322, 19802, 423, 2739, 2035, 371, 313, 6345, 29871, 29896, 29929, 29929, 29947, 1723, 408, 1532, 408, 263, 6576, 265, 1919, 11339, 5918, 6123, 1704, 3665, 457, 313, 6345, 29871, 29896]",merce,15667,24.528696060180664,gcg,Fußball,"[13739, 9870, 8759, 827, 29698, 24097, 30549, 15219, 13007, 14113]",10,13.97453784942627,False,False,32
"ers on 12 August , without sinking any . She remained in British waters for the rest of the war ; the ship was damaged in a collision","[414, 373, 29871, 29896, 29906, 3111, 1919, 1728, 269, 18159, 738, 869, 2296, 9488, 297, 4908, 19922, 363, 278, 1791, 310, 278, 1370, 2056, 278, 7751, 471, 5625, 4063, 297, 263, 22369]",{{\,16195,21.161102294921875,gcg,.«,"[29719, 9826, 31881, 19997, 1048, 29535, 31666, 22369, 16195, 5731]",10,2.7137856483459473,False,False,32
"45 / 85 , whose producer , Avram Westin , would go on to produce Our World . Each episode was produced on a budget of","[29871, 29946, 29945, 847, 29871, 29947, 29945, 1919, 5069, 14297, 1919, 7740, 2572, 3122, 262, 1919, 723, 748, 373, 304, 7738, 8680, 2787, 869, 7806, 12720, 471, 7371, 373, 263, 23562, 310]",orten,27993,20.5875186920166,gcg,Budapest,"[16185, 5614, 25435, 8875, 1754, 5448, 1090, 31683, 12970, 29938]",10,4.269320011138916,False,False,32
", My Story , in September 2014 . She has been on the board of mental health organisation beyondblue from December 2014 ,","[1919, 1619, 13740, 1919, 297, 3839, 29871, 29906, 29900, 29896, 29946, 869, 2296, 756, 1063, 373, 278, 7613, 310, 19119, 9045, 24788, 8724, 9539, 515, 5846, 29871, 29906, 29900, 29896, 29946, 1919]",територ,25336,23.014312744140625,gcg,ssh,"[15269, 15245, 10166, 20153, 5884, 22177, 2213, 11358, 18652, 25763]",10,4.760645866394043,False,False,32
everyone 's cell phones . The ceremony is temporarily suspended until Blair comes back to the aisle determined to marry Louis . As a result,"[14332, 525, 29879, 3038, 1374, 2873, 869, 450, 25672, 338, 5382, 6275, 8872, 2760, 2745, 10465, 381, 5304, 1250, 304, 278, 263, 275, 280, 10087, 304, 20479, 5899, 869, 1094, 263, 1121]",MODE,20387,19.75453758239746,gcg,результате,"[29799, 20387, 17245, 30678]",4,0.474237859249115,False,True,32
"IF and 25 @,@ 000 Italians became prisoners . During January and February 1941 , the 6th","[6545, 322, 29871, 29906, 29945, 732, 29892, 29992, 29871, 29900, 29900, 29900, 739, 2606, 550, 3897, 22979, 869, 7133, 5490, 322, 6339, 29871, 29896, 29929, 29946, 29896, 1919, 278, 29871, 29953, 386]",шли,19447,19.32649040222168,gcg,Бер,"[15829, 31527, 27875, 4076, 23996, 30927, 8436, 3242, 8436, 9068]",10,9.134993553161621,False,False,32
