question,question_ids,answer,answer_ids
ets lineup during their 2015 postseason run to the World Series . While Murphy cooled off in the World Series against the Kansas,"[1691, 1196, 786, 2645, 1009, 29871, 29906, 29900, 29896, 29945, 1400, 25682, 1065, 304, 278, 2787, 10488, 869, 5806, 7487, 11461, 1302, 29877, 839, 1283, 297, 278, 2787, 10488, 2750, 278, 20029]",mig,29542
landaff and ordering their return . Pain was among a group of nobles similarly accused by Pope Honorius II in 1128 . Honorius once,"[1049, 3470, 322, 20520, 1009, 736, 869, 349, 475, 471, 4249, 263, 2318, 310, 26784, 22829, 28886, 491, 20635, 18236, 2482, 1944, 297, 29871, 29896, 29896, 29906, 29947, 869, 18236, 2482, 2748]",anie,6067
") , in the hope that they would initiate the end of the world . The six were intended to cause the large , inhabited floating sphere named Coc","[1723, 1919, 297, 278, 4966, 393, 896, 723, 14511, 403, 278, 1095, 310, 278, 3186, 869, 450, 4832, 892, 9146, 304, 4556, 278, 2919, 1919, 14117, 1573, 16526, 20745, 4257, 315, 542]",элект,22876
"etic personality — on the one hand an enthusiasm for "" symbolist moments "" and "" freely imaginative narratives "" , and on the other","[7492, 2022, 2877, 813, 373, 278, 697, 1361, 385, 23644, 3173, 29885, 363, 376, 5829, 391, 19462, 376, 322, 376, 28472, 6382, 262, 1230, 15474, 5056, 376, 1919, 322, 373, 278, 916]",пе,6414
"dissed West because he disliked his new music . "" Tears to Snow "" is an emotional song about him and his ex @-@ girl","[766, 8485, 3122, 1363, 540, 766, 5081, 287, 670, 716, 4696, 869, 376, 323, 15451, 304, 24392, 376, 338, 385, 23023, 1848, 4823, 1048, 1075, 322, 670, 429, 732, 29899, 29992, 7826]",tät,18026
"nicht lassen "" ( If the world cannot cease ) , begins by recounting persecution , but quickly becomes an arioso with a walking continu","[3072, 25979, 376, 313, 960, 278, 3186, 2609, 2257, 559, 1723, 1919, 16410, 491, 1162, 792, 292, 639, 3471, 918, 1919, 541, 9098, 7415, 385, 263, 374, 9064, 411, 263, 22049, 3133]",kins,11335
"played basketball under coach Conway Stewart in high school . She won the most valuable player award three consecutive years , served as team captain and made the state All @","[5318, 20305, 1090, 11182, 1281, 1582, 22389, 297, 1880, 3762, 869, 2296, 2113, 278, 1556, 21114, 4847, 9862, 2211, 18942, 2440, 1919, 6766, 408, 3815, 15315, 322, 1754, 278, 2106, 2178, 732]",Girl,18620
"onstads plass in Sandvika , the administrative centre of Bærum . It was commissioned in 1965 by the local Rot","[265, 303, 7925, 282, 605, 297, 8564, 29894, 4106, 1919, 278, 19185, 8442, 310, 350, 30078, 5848, 869, 739, 471, 12969, 287, 297, 29871, 29896, 29929, 29953, 29945, 491, 278, 1887, 9664]",encrypt,27924
23 January 1935 . The damage to Hood was limited to her left outer propeller and an 18 @-@ in,"[29871, 29906, 29941, 5490, 29871, 29896, 29929, 29941, 29945, 869, 450, 18658, 304, 379, 2092, 471, 9078, 304, 902, 2175, 11420, 3107, 4539, 322, 385, 29871, 29896, 29947, 732, 29899, 29992, 297]",Ut,14950
"pictures from left to right depicted Joan devoting herself to the service of God and her country , Joan scattering the enemies of France , and Joan dying a","[14956, 515, 2175, 304, 1492, 1401, 18186, 19317, 2906, 11427, 8735, 304, 278, 2669, 310, 4177, 322, 902, 4234, 1919, 19317, 14801, 292, 278, 22595, 310, 3444, 1919, 322, 19317, 27116, 263]",Feld,21113
