question,answer,question_ids,answer_ids
" 28,", 201,"[204, 2086, 204, 23]","[204, 626]"
. In 193,6 ,"[25, 529, 204, 6128]","[33, 204]"
 village of Pari, in Sk,"[7997, 275, 337, 2150]","[272, 4200]"
", President Christ",ophe S,"[204, 23, 3503, 1781]","[43356, 302]"
 American artists Little Fe,at and,"[2281, 6517, 8527, 3948]","[249, 273]"
 forming a ten ,@-,"[16455, 241, 3020, 204]","[43, 24]"
 the native king of, western K,"[248, 7863, 6693, 275]","[11627, 531]"
 comically revealed to, be close,"[371, 1306, 7436, 271]","[314, 2469]"
's flaws,",","[204, 18, 94, 24922]","[204, 23]"
 This practice has led, to much,"[735, 3100, 504, 3803]","[271, 866]"
 I assume the X, @,"[295, 7950, 248, 1876]","[204, 43]"
", after a town", neighboring Florence,"[23, 852, 241, 3371]","[27506, 26115]"
'true fort, ',"[204, 18, 2031, 5949]","[204, 18]"
 low budget for the, pilot and,"[1958, 4342, 312, 248]","[11558, 273]"
 sacks that he g,ulls without,"[42349, 325, 332, 294]","[45595, 1315]"
 DC band members ,". 
","[8366, 4129, 2094, 204]","[25, 4610]"
= Early career ,( ,"[40, 12955, 3579, 204]","[19, 204]"
. He also, narrated the,"[204, 25, 707, 614]","[62327, 248]"
" event, receiving", the silver,"[1769, 204, 23, 7537]","[248, 7635]"
 Noether published several, papers extending,"[1684, 7577, 4002, 1988]","[8328, 20131]"
 Indiana. He, was married,"[14273, 204, 25, 707]","[398, 6143]"
Salle Parish ,", deal","[62, 5366, 30741, 204]","[23, 2066]"
" being "" perfect"," ""","[1003, 204, 13, 1943]","[204, 13]"
" the Life """, from Sgt,"[248, 4880, 204, 13]","[427, 52457]"
 a facility for accumulating, knowledge ,"[241, 6830, 312, 54320]","[2882, 204]"
 through West Branch was, numbered M,"[788, 3431, 22244, 398]","[34895, 331]"
zeln in ,1851,"[101, 10223, 272, 204]","[11127, 28]"
 undeniably Palladian in, concept and,"[60995, 42350, 6666, 272]","[3722, 273]"
5. The, Blu ,"[32, 204, 25, 390]","[25444, 204]"
" conception, proposed", that the,"[25403, 204, 23, 7100]","[325, 248]"
 whereas the third one, is used,"[10206, 248, 2914, 532]","[304, 1042]"
 its coastal culture in, the face,"[701, 19676, 3922, 272]","[248, 1936]"
 106 %, of the,"[204, 13601, 204, 16]","[275, 248]"
 highly destructive eye ,@-,"[3766, 25914, 3883, 204]","[43, 24]"
", but while", his analysis,"[204, 23, 480, 1093]","[545, 3549]"
 professional career from an, early age,"[2800, 3579, 427, 267]","[2304, 2521]"
"wick, however",",","[10080, 204, 23, 2537]","[204, 23]"
", a ",16th,"[204, 23, 241, 204]","[1243, 420]"
' em up ,. ,"[18, 732, 510, 204]","[25, 204]"
 man. According, to their,"[546, 204, 25, 6480]","[271, 525]"
", and anthe",ms ,"[23, 273, 267, 1410]","[1894, 204]"
's material,.,"[204, 18, 94, 2047]","[204, 25]"
 Ponce and May,ag�,"[337, 16948, 273, 1896]","[353, 137]"
 game adjusts how it, reacts to,"[1404, 53188, 672, 334]","[46126, 271]"
", planners considered attacking", the compound,"[23, 35252, 3558, 20340]","[248, 14625]"
" south, then", crosses under,"[6520, 204, 23, 832]","[32954, 813]"
410 mm ), in diameter,"[22505, 7032, 204, 20]","[272, 14686]"
 little like writing about, the Beatles,"[1278, 606, 2607, 544]","[248, 31948]"
 on September 15,",","[313, 3278, 204, 1030]","[204, 23]"
s Global Nuclear Threat, Reduction Initiative,"[94, 6736, 28942, 31726]","[28657, 19976]"
", 2003", ),"[23, 204, 853, 30]","[204, 20]"
 the table with eleven, wins ,"[248, 2409, 335, 24542]","[10024, 204]"
 complex and a community, hub ,"[3591, 273, 241, 1986]","[9983, 204]"
! This is, the first,"[204, 12, 735, 304]","[248, 772]"
 the preservation of one, will also,"[248, 23674, 275, 532]","[451, 614]"
" Cats "" to", be repaired,"[30449, 204, 13, 271]","[314, 28349]"
 Oerlemans, (,"[432, 246, 9054, 501]","[204, 19]"
 the Republican Party ,. He,"[248, 9771, 6865, 204]","[25, 707]"
 discovered in the United, States ,"[6524, 272, 248, 2522]","[2941, 204]"
", Pippen was", inducted into,"[23, 337, 57586, 398]","[59605, 679]"
 of kinky keyboards,",","[275, 429, 27524, 47602]","[204, 23]"
 from his Warbler, brothers and,"[427, 545, 3710, 17124]","[11792, 273]"
 support Hits for Kids,.,"[1164, 46626, 312, 10995]","[204, 25]"
""" Islamophobia ",. ,"[13, 12018, 38763, 204]","[25, 204]"
 prime minister is not, under any obligation,"[9079, 11177, 304, 416]","[813, 607, 15153]"
", at ten", shillings,"[204, 23, 388, 3020]","[421, 350, 621]"
", planning and"," zoning,","[204, 23, 4042, 273]","[40093, 204, 23]"
. However ,", as they","[204, 25, 2071, 204]","[23, 345, 506]"
 it reached number ,28 on the,"[334, 5283, 1386, 204]","[2086, 313, 248]"
 consisted of a revival, of Uncle V,"[24363, 275, 241, 35124]","[275, 25327, 553]"
 release as the lead," song,","[3586, 345, 248, 1210]","[3172, 204, 23]"
 would produce the film,", with","[631, 4634, 248, 2675]","[204, 23, 335]"
 OA ceremony teams are, also occasionally asked,"[54272, 11326, 4408, 362]","[614, 13095, 2425]"
 factor in the decision, to push the,"[5864, 272, 248, 3241]","[271, 4637, 248]"
", Austen wrote an", angry letter to,"[23, 56413, 4347, 267]","[10787, 4911, 271]"
 that Anne was a," witch ""","[325, 13251, 398, 241]","[21706, 204, 13]"
. Both ships at, the dock were,"[25, 6949, 13118, 388]","[248, 16084, 646]"
@-@ lista,", and","[43, 24, 43, 32552]","[204, 23, 273]"
